"country","admin1","id1","admin2","id2","type","alt_names"
"Afghanistan","Farah","AFG.7_1","Shib Koh","AFG.7.11_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Almar","AFG.8.1_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Andkhoy","AFG.8.2_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Bilchiragh","AFG.8.3_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Dawlat abad","AFG.8.4_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Khan Char Bagh","AFG.8.5_1","Wuleswali","Khani Chahar Bagh"
"Afghanistan","Faryab","AFG.8_1","Khwaja Sabz Posh","AFG.8.6_1","Wuleswali","Khwaja Sabz"
"Afghanistan","Faryab","AFG.8_1","Kohistan","AFG.8.7_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Maymana","AFG.8.8_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Pashtun Kot","AFG.8.9_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Qaram Qol","AFG.8.10_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Qaysar","AFG.8.11_1","Wuleswali",NA
"Afghanistan","Faryab","AFG.8_1","Shirin Tagab","AFG.8.12_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Ab Band","AFG.9.1_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Ajristan","AFG.9.2_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Andar","AFG.9.3_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Dihyak","AFG.9.4_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Gelan","AFG.9.5_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Ghazni","AFG.9.6_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Giro","AFG.9.7_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Jaghatu","AFG.9.8_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Jaghuri","AFG.9.9_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Malistan","AFG.9.10_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Muqur","AFG.9.11_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Nawa","AFG.9.12_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Nawur","AFG.9.13_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Qarabagh","AFG.9.14_1","Wuleswali",NA
"Afghanistan","Ghazni","AFG.9_1","Zana Khan","AFG.9.15_1","Wuleswali",NA
"Afghanistan","Ghor","AFG.10_1","Chaghcharan","AFG.10.1_1","Wuleswali",NA
"Afghanistan","Ghor","AFG.10_1","Lal Wa Sarjangal","AFG.10.2_1","Wuleswali",NA
"Afghanistan","Ghor","AFG.10_1","Pasaband","AFG.10.3_1","Wuleswali",NA
"Afghanistan","Ghor","AFG.10_1","Saghar","AFG.10.4_1","Wuleswali",NA
"Afghanistan","Ghor","AFG.10_1","Shahrak","AFG.10.5_1","Wuleswali",NA
"Afghanistan","Ghor","AFG.10_1","Taywara","AFG.10.6_1","Wuleswali",NA
"Afghanistan","Ghor","AFG.10_1","Tulak","AFG.10.7_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Bughran","AFG.11.1_1","Wuleswali","Baghran"
"Afghanistan","Hilmand","AFG.11_1","Disho","AFG.11.2_1","Wuleswali","Dishu"
"Afghanistan","Hilmand","AFG.11_1","Garmser","AFG.11.3_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Kajaki","AFG.11.4_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Lashkargah","AFG.11.5_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Musa Qala","AFG.11.6_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Nad Ali","AFG.11.7_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Nahri Sarraj","AFG.11.8_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Naw Zad","AFG.11.9_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Nawa-i-Barak Zayi","AFG.11.10_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Reg","AFG.11.11_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Sangin","AFG.11.12_1","Wuleswali",NA
"Afghanistan","Hilmand","AFG.11_1","Washer","AFG.11.13_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Adraskan","AFG.12.1_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Chishti Sharif","AFG.12.2_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Farsi","AFG.12.3_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Ghoryan","AFG.12.4_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Gulran","AFG.12.5_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Guzara","AFG.12.6_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Hirat City","AFG.12.7_1","Wuleswali","Hirat"
"Afghanistan","Hirat","AFG.12_1","Injil","AFG.12.8_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Karukh","AFG.12.9_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Kuhsan","AFG.12.10_1","Wuleswali","Kohsan"
"Afghanistan","Hirat","AFG.12_1","Kushk","AFG.12.11_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Kushki Kuhna","AFG.12.12_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Obe","AFG.12.13_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Pashtun Zarghun","AFG.12.14_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Shindand","AFG.12.15_1","Wuleswali",NA
"Afghanistan","Hirat","AFG.12_1","Zinda Jan","AFG.12.16_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Aqcha","AFG.13.1_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Darzab","AFG.13.2_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Fayz abad","AFG.13.3_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Khamyab","AFG.13.4_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Khwaja Du Koh","AFG.13.5_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Mardyan","AFG.13.6_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Mingajik","AFG.13.7_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Qarqin","AFG.13.8_1","Wuleswali",NA
"Afghanistan","Jawzjan","AFG.13_1","Shibirghan","AFG.13.9_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Bagrami","AFG.14.1_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Chahar Asyab","AFG.14.2_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Dih Sabz","AFG.14.3_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Gul dara","AFG.14.4_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Istalif","AFG.14.5_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Kabul City","AFG.14.6_1","Wuleswali","Kabul"
"Afghanistan","Kabul","AFG.14_1","Kalakan","AFG.14.7_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Khaki Jabar","AFG.14.8_1","Wuleswali","Khaki Jabbar"
"Afghanistan","Kabul","AFG.14_1","Mirbacha Kot","AFG.14.9_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Musayi","AFG.14.10_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Paghman","AFG.14.11_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Qarabagh","AFG.14.12_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Shakar Dara","AFG.14.13_1","Wuleswali",NA
"Afghanistan","Kabul","AFG.14_1","Surobi","AFG.14.14_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Arghandab","AFG.15.1_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Arghistan","AFG.15.2_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Daman","AFG.15.3_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Ghorak","AFG.15.4_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Kandahar City","AFG.15.5_1","Wuleswali","Kandahar"
"Afghanistan","Kandahar","AFG.15_1","Khakrez","AFG.15.6_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Maruf","AFG.15.7_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Maywand","AFG.15.8_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Panjwayi","AFG.15.9_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Reg","AFG.15.10_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Shah Wali Kot","AFG.15.11_1","Wuleswali",NA
"Afghanistan","Kandahar","AFG.15_1","Shorabak","AFG.15.12_1","Wuleswali",NA
