Time.Series.ID,Country,Admin.1,Admin.2,City.,year,GID_1,GID_2,population_per_1km,EVI,elevation,LC_10,LC_20,LC_30,LC_40,LC_120,LC_122,LC_130,LC_150,LC_200,LC_11,LC_12,LC_100,LC_190,LC_210,LC_153,LC_170,LC_180,LC_201,LC_60,LC_62,LC_110,LC_152,LC_50,LC_61,LC_70,LC_121,LC_202,LC_80,LC_71,LC_160,worldclim_1,worldclim_10,worldclim_11,worldclim_12,worldclim_13,worldclim_14,worldclim_15,worldclim_16,worldclim_17,worldclim_18,worldclim_19,worldclim_2,worldclim_3,worldclim_4,worldclim_5,worldclim_6,worldclim_7,worldclim_8,worldclim_9
5,Pakistan,Punjab,Lahore,Rural,1978,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
5,Pakistan,Punjab,Lahore,Rural,1979,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
5,Pakistan,Punjab,Lahore,Rural,1980,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
6,Pakistan,Punjab,Lahore,Rural,1976,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
6,Pakistan,Punjab,Lahore,Rural,1977,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
6,Pakistan,Punjab,Lahore,Rural,1978,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
6,Pakistan,Punjab,Lahore,Rural,1979,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
6,Pakistan,Punjab,Lahore,Rural,1980,PAK.7_1,PAK.7.5_1,936.7615875,2610.25,183,0.033371244,0.942532919,0.0018753,0.000995779,0.000197134,0,0.006272904,0.000712715,0.000596457,0.001966285,0,0.000187025,0.005160866,0.005777542,0,0,0.00018197,0,0,0,0,0,0,0,3.03E-05,9.60E-05,0,0,1.01E-05,3.54E-05,23.85833359,32.09999847,13.51666641,393,111,3,110.6638489,260,18,160,45,13.53333282,38.40375519,775.7366943,40.40000153,5.099999905,35.39999771,30.56666565,19.13333321
7,Iran,Hormozgan,Minab,Rural,1984,IRN.11_1,IRN.11.13_1,31.01858866,465.4583282,651.5,0.011071423,0,0.001857091,0.00150938,0.00380111,0.009143209,0,0.019282136,0.94601002,0,0,0,0.003405984,0.002900223,0,7.90E-06,1.58E-05,0,0,0,0.000995717,0,0,0,0,0,0,0,0,0,25.94166756,32.21666718,18.58333397,254,47,5,73.07491302,132,23,47,119,8.583333015,36.95652008,563.7388916,36.20000076,13.10000038,23.40000153,19.60000038,27.16666603
7,Iran,Hormozgan,Minab,Rural,1985,IRN.11_1,IRN.11.13_1,31.01858866,465.4583282,651.5,0.011071423,0,0.001857091,0.00150938,0.00380111,0.009143209,0,0.019282136,0.94601002,0,0,0,0.003405984,0.002900223,0,7.90E-06,1.58E-05,0,0,0,0.000995717,0,0,0,0,0,0,0,0,0,25.94166756,32.21666718,18.58333397,254,47,5,73.07491302,132,23,47,119,8.583333015,36.95652008,563.7388916,36.20000076,13.10000038,23.40000153,19.60000038,27.16666603
