"daymonth_id","rainfall","day","time_series_id"
"01-01",0,1999-01-01,45
"01-02",1.20235825,1999-01-02,45
"01-03",0.005478,1999-01-03,45
"01-04",0.06141985,1999-01-04,45
"01-05",0.5963246,1999-01-05,45
"01-06",0.3968908,1999-01-06,45
"01-07",0.85172405,1999-01-07,45
"01-08",0.82727105,1999-01-08,45
"01-09",0.1758477,1999-01-09,45
"01-10",0.54827025,1999-01-10,45
"01-11",0.4463699,1999-01-11,45
"01-12",0.1141443,1999-01-12,45
"01-13",0,1999-01-13,45
"01-14",0,1999-01-14,45
"01-15",0,1999-01-15,45
"01-16",0,1999-01-16,45
"01-17",0.12525695,1999-01-17,45
"01-18",0.0005743,1999-01-18,45
"01-19",1.6758492,1999-01-19,45
"01-20",0.20516235,1999-01-20,45
"01-21",0.0086677,1999-01-21,45
"01-22",0,1999-01-22,45
"01-23",0.01570505,1999-01-23,45
"01-24",0,1999-01-24,45
"01-25",0.040178,1999-01-25,45
"01-26",0,1999-01-26,45
"01-27",0.19295165,1999-01-27,45
"01-28",0.10632515,1999-01-28,45
"01-29",0,1999-01-29,45
"01-30",0,1999-01-30,45
"01-31",0,1999-01-31,45
"02-01",0,1999-02-01,45
"02-02",0.02120815,1999-02-02,45
"02-03",0,1999-02-03,45
"02-04",0.4308441,1999-02-04,45
"02-05",0.14519285,1999-02-05,45
"02-06",0.48194245,1999-02-06,45
"02-07",0.10277405,1999-02-07,45
"02-08",0,1999-02-08,45
"02-09",0.1750386,1999-02-09,45
"02-10",0.59274005,1999-02-10,45
"02-11",0.0160872,1999-02-11,45
"02-12",0,1999-02-12,45
"02-13",0,1999-02-13,45
"02-14",0.07606455,1999-02-14,45
"02-15",1.350401,1999-02-15,45
"02-16",0.8387404,1999-02-16,45
"02-17",0,1999-02-17,45
"02-18",0,1999-02-18,45
"02-19",0.05274545,1999-02-19,45
"02-20",0,1999-02-20,45
"02-21",0.5345511,1999-02-21,45
"02-22",0.05812935,1999-02-22,45
"02-23",0.44884055,1999-02-23,45
"02-24",0.20933755,1999-02-24,45
"02-25",0.24620415,1999-02-25,45
"02-26",0,1999-02-26,45
"02-27",0,1999-02-27,45
"02-28",0,1999-02-28,45
"02-29",0,1999-03-01,45
"03-01",0,1999-03-02,45
"03-02",0,1999-03-03,45
"03-03",0.0724614,1999-03-04,45
"03-04",0.0991932,1999-03-05,45
"03-05",0.31134005,1999-03-06,45
"03-06",0.422029,1999-03-07,45
"03-07",0.02055415,1999-03-08,45
"03-08",0.00254345,1999-03-09,45
"03-09",0.10610005,1999-03-10,45
"03-10",0,1999-03-11,45
"03-11",0,1999-03-12,45
"03-12",0,1999-03-13,45
"03-13",0,1999-03-14,45
"03-14",0,1999-03-15,45
"03-15",0,1999-03-16,45
"03-16",0,1999-03-17,45
"03-17",0,1999-03-18,45
"03-18",0,1999-03-19,45
"03-19",0,1999-03-20,45
"03-20",0.0038928,1999-03-21,45
