"daymonth_id","rainfall","day","time_series_id"
"01-01",0.031043,1993-01-01,36
"01-02",0,1993-01-02,36
"01-03",0,1993-01-03,36
"01-04",0,1993-01-04,36
"01-05",0.04775085,1993-01-05,36
"01-06",0.0961874,1993-01-06,36
"01-07",0.08985455,1993-01-07,36
"01-08",0.51309965,1993-01-08,36
"01-09",0.57592015,1993-01-09,36
"01-10",0.00586985,1993-01-10,36
"01-11",0.11287705,1993-01-11,36
"01-12",0,1993-01-12,36
"01-13",0,1993-01-13,36
"01-14",0.00016635,1993-01-14,36
"01-15",0.00083175,1993-01-15,36
"01-16",0,1993-01-16,36
"01-17",0,1993-01-17,36
"01-18",0,1993-01-18,36
"01-19",0.0160303,1993-01-19,36
"01-20",0.0008748,1993-01-20,36
"01-21",0,1993-01-21,36
"01-22",0,1993-01-22,36
"01-23",0,1993-01-23,36
"01-24",0,1993-01-24,36
"01-25",0,1993-01-25,36
"01-26",0,1993-01-26,36
"01-27",0,1993-01-27,36
"01-28",0,1993-01-28,36
"01-29",0,1993-01-29,36
"01-30",0,1993-01-30,36
"01-31",0.03262795,1993-01-31,36
"02-01",0.00232985,1993-02-01,36
"02-02",0,1993-02-02,36
"02-03",0,1993-02-03,36
"02-04",0,1993-02-04,36
"02-05",0.79394315,1993-02-05,36
"02-06",0,1993-02-06,36
"02-07",0,1993-02-07,36
"02-08",0,1993-02-08,36
"02-09",0,1993-02-09,36
"02-10",0,1993-02-10,36
"02-11",0,1993-02-11,36
"02-12",0,1993-02-12,36
"02-13",0,1993-02-13,36
"02-14",0.0348163,1993-02-14,36
"02-15",0.00078475,1993-02-15,36
"02-16",0,1993-02-16,36
"02-17",0,1993-02-17,36
"02-18",0,1993-02-18,36
"02-19",0,1993-02-19,36
"02-20",0.0015737,1993-02-20,36
"02-21",0.00227575,1993-02-21,36
"02-22",0,1993-02-22,36
"02-23",0.0321122,1993-02-23,36
"02-24",0.10012235,1993-02-24,36
"02-25",0.0041437,1993-02-25,36
"02-26",0,1993-02-26,36
"02-27",0,1993-02-27,36
"02-28",0,1993-02-28,36
"03-01",0,1993-03-01,36
"03-02",0,1993-03-02,36
"03-03",0,1993-03-03,36
"03-04",0.00296795,1993-03-04,36
"03-05",0.00296795,1993-03-05,36
"03-06",0,1993-03-06,36
"03-07",0,1993-03-07,36
"03-08",0,1993-03-08,36
"03-09",0,1993-03-09,36
"03-10",0,1993-03-10,36
"03-11",0,1993-03-11,36
"03-12",0.6719829,1993-03-12,36
"03-13",0,1993-03-13,36
"03-14",0.0049064,1993-03-14,36
"03-15",0.01497815,1993-03-15,36
"03-16",0,1993-03-16,36
"03-17",0,1993-03-17,36
"03-18",0,1993-03-18,36
"03-19",0,1993-03-19,36
"03-20",0.1590743,1993-03-20,36
"03-21",0.8977394,1993-03-21,36
"03-22",0.3813564,1993-03-22,36
"03-23",0.00874395,1993-03-23,36
"03-24",0,1993-03-24,36
"03-25",0,1993-03-25,36
"03-26",0,1993-03-26,36
"03-27",0,1993-03-27,36
"03-28",0,1993-03-28,36
"03-29",0,1993-03-29,36
"03-30",0.0516484,1993-03-30,36
"03-31",0.0188147,1993-03-31,36
"04-01",0,1993-04-01,36
