"daymonth_id","rainfall","day","time_series_id"
"01-01",0,2013-01-01,64
"01-02",0.0006913,2013-01-02,64
"01-03",0.35390755,2013-01-03,64
"01-04",0,2013-01-04,64
"01-05",0.26288565,2013-01-05,64
"01-06",0,2013-01-06,64
"01-07",0.53672095,2013-01-07,64
"01-08",0,2013-01-08,64
"01-09",0,2013-01-09,64
"01-10",0,2013-01-10,64
"01-11",0,2013-01-11,64
"01-12",0.1795328,2013-01-12,64
"01-13",0,2013-01-13,64
"01-14",0,2013-01-14,64
"01-15",0,2013-01-15,64
"01-16",0,2013-01-16,64
"01-17",0,2013-01-17,64
"01-18",0,2013-01-18,64
"01-19",13.62345045,2013-01-19,64
"01-20",0,2013-01-20,64
"01-21",0.2200922,2013-01-21,64
"01-22",0.02596265,2013-01-22,64
"01-23",0,2013-01-23,64
"01-24",0.00111235,2013-01-24,64
"01-25",0.34393975,2013-01-25,64
"01-26",0,2013-01-26,64
"01-27",1.20749255,2013-01-27,64
"01-28",0,2013-01-28,64
"01-29",4.80468295,2013-01-29,64
"01-30",0.21115725,2013-01-30,64
"01-31",1.2931528,2013-01-31,64
"02-01",1.086197,2013-02-01,64
"02-02",0.8186838,2013-02-02,64
"02-03",0,2013-02-03,64
"02-04",0,2013-02-04,64
"02-05",0.9751908,2013-02-05,64
"02-06",0,2013-02-06,64
"02-07",0,2013-02-07,64
"02-08",0.2658527,2013-02-08,64
"02-09",1.62800895,2013-02-09,64
"02-10",0.23751505,2013-02-10,64
"02-11",0,2013-02-11,64
"02-12",0.07669125,2013-02-12,64
"02-13",0.02188025,2013-02-13,64
"02-14",0.46702555,2013-02-14,64
"02-15",0.10731085,2013-02-15,64
"02-16",0,2013-02-16,64
"02-17",0,2013-02-17,64
"02-18",2.1727842,2013-02-18,64
"02-19",0.0229946,2013-02-19,64
"02-20",2.0497518,2013-02-20,64
"02-21",0,2013-02-21,64
"02-22",0,2013-02-22,64
"02-23",0.04866205,2013-02-23,64
"02-24",0.89474565,2013-02-24,64
"02-25",2.23056265,2013-02-25,64
"02-26",0.005018,2013-02-26,64
"02-27",0,2013-02-27,64
"02-28",0,2013-02-28,64
"03-01",0,2013-03-01,64
"03-02",0.4434484,2013-03-02,64
"03-03",0.09948935,2013-03-03,64
"03-04",0,2013-03-04,64
