"daymonth_id","rainfall","day","time_series_id"
"01-01",1.80828435,2002-01-01,52
"01-02",2.13549455,2002-01-02,52
"01-03",1.1686928,2002-01-03,52
"01-04",0.0672645,2002-01-04,52
"01-05",0,2002-01-05,52
"01-06",0,2002-01-06,52
"01-07",0,2002-01-07,52
"01-08",2.4263692,2002-01-08,52
"01-09",0.4497207,2002-01-09,52
"01-10",0.1154699,2002-01-10,52
"01-11",1.22100805,2002-01-11,52
"01-12",3.14349945,2002-01-12,52
"01-13",0,2002-01-13,52
"01-14",0.01741035,2002-01-14,52
"01-15",0,2002-01-15,52
"01-16",0,2002-01-16,52
"01-17",5.1575766,2002-01-17,52
"01-18",0,2002-01-18,52
"01-19",0,2002-01-19,52
"01-20",0,2002-01-20,52
"01-21",0.1805211,2002-01-21,52
"01-22",0.2123941,2002-01-22,52
"01-23",0,2002-01-23,52
"01-24",0,2002-01-24,52
"01-25",0,2002-01-25,52
"01-26",0,2002-01-26,52
"01-27",0,2002-01-27,52
"01-28",0,2002-01-28,52
"01-29",0.1745451,2002-01-29,52
"01-30",2.2958075,2002-01-30,52
"01-31",0,2002-01-31,52
"02-01",0,2002-02-01,52
"02-02",0,2002-02-02,52
"02-03",0,2002-02-03,52
"02-04",0,2002-02-04,52
"02-05",0.13243895,2002-02-05,52
"02-06",0,2002-02-06,52
"02-07",0,2002-02-07,52
"02-08",0,2002-02-08,52
"02-09",0,2002-02-09,52
"02-10",0,2002-02-10,52
"02-11",0.0131115,2002-02-11,52
"02-12",0,2002-02-12,52
"02-13",0,2002-02-13,52
"02-14",2.1403985,2002-02-14,52
"02-15",1.76970785,2002-02-15,52
"02-16",0.0497418,2002-02-16,52
"02-17",0,2002-02-17,52
"02-18",0,2002-02-18,52
"02-19",3.299311,2002-02-19,52
"02-20",6.93333125,2002-02-20,52
"02-21",3.35823625,2002-02-21,52
"02-22",2.2857002,2002-02-22,52
"02-23",0.5526576,2002-02-23,52
"02-24",0.3272779,2002-02-24,52
"02-25",0.77345715,2002-02-25,52
"02-26",0.03146635,2002-02-26,52
"02-27",0,2002-02-27,52
"02-28",0.00282525,2002-02-28,52
"03-01",0,2002-03-01,52
"03-02",0.3025669,2002-03-02,52
"03-03",0,2002-03-03,52
"03-04",0,2002-03-04,52
"03-05",0,2002-03-05,52
"03-06",0.22737875,2002-03-06,52
"03-07",0.02269725,2002-03-07,52
"03-08",0,2002-03-08,52
"03-09",0.66802625,2002-03-09,52
"03-10",2.26420395,2002-03-10,52
"03-11",0,2002-03-11,52
"03-12",0.02678325,2002-03-12,52
"03-13",0.31581485,2002-03-13,52
"03-14",0,2002-03-14,52
"03-15",0,2002-03-15,52
"03-16",0,2002-03-16,52
"03-17",0.03026025,2002-03-17,52
"03-18",1.80236835,2002-03-18,52
"03-19",1.60014555,2002-03-19,52
"03-20",1.30772675,2002-03-20,52
"03-21",3.7988519,2002-03-21,52
"03-22",2.36552945,2002-03-22,52
"03-23",0,2002-03-23,52
"03-24",0,2002-03-24,52
"03-25",0.4325786,2002-03-25,52
"03-26",4.2241141,2002-03-26,52
"03-27",1.7803389,2002-03-27,52
"03-28",0.36517225,2002-03-28,52
"03-29",0.0897216,2002-03-29,52
"03-30",0,2002-03-30,52
"03-31",1.3024255,2002-03-31,52
"04-01",0.02812575,2002-04-01,52
"04-02",0,2002-04-02,52
"04-03",0.06482615,2002-04-03,52
"04-04",0.34340175,2002-04-04,52
"04-05",0.0019722,2002-04-05,52
"04-06",0,2002-04-06,52
"04-07",0,2002-04-07,52
"04-08",0,2002-04-08,52
"04-09",0,2002-04-09,52
"04-10",0,2002-04-10,52
"04-11",0.086516,2002-04-11,52
"04-12",0.1533743,2002-04-12,52
"04-13",1.8675782,2002-04-13,52
"04-14",1.51108695,2002-04-14,52
"04-15",0,2002-04-15,52
"04-16",3.2107304,2002-04-16,52
"04-17",2.8280938,2002-04-17,52
"04-18",0,2002-04-18,52
"04-19",0,2002-04-19,52
"04-20",0.1209203,2002-04-20,52
"04-21",0.0398693,2002-04-21,52
"04-22",0,2002-04-22,52
"04-23",0.0372995,2002-04-23,52
"04-24",0,2002-04-24,52
"04-25",0,2002-04-25,52
"04-26",0,2002-04-26,52
"04-27",0,2002-04-27,52
"04-28",0,2002-04-28,52
"04-29",0,2002-04-29,52
"04-30",0,2002-04-30,52
"05-01",0,2002-05-01,52
"05-02",0,2002-05-02,52
"05-03",0,2002-05-03,52
"05-04",0,2002-05-04,52
"05-05",0,2002-05-05,52
"05-06",0,2002-05-06,52
"05-07",0,2002-05-07,52
"05-08",0,2002-05-08,52
"05-09",0,2002-05-09,52
"05-10",0,2002-05-10,52
"05-11",0,2002-05-11,52
"05-12",0,2002-05-12,52
"05-13",0,2002-05-13,52
"05-14",0,2002-05-14,52
"05-15",0,2002-05-15,52
"05-16",0,2002-05-16,52
"05-17",0,2002-05-17,52
"05-18",0,2002-05-18,52
"05-19",0,2002-05-19,52
"05-20",0,2002-05-20,52
"05-21",0,2002-05-21,52
"05-22",0,2002-05-22,52
"05-23",0,2002-05-23,52
"05-24",0,2002-05-24,52
"05-25",0,2002-05-25,52
"05-26",0,2002-05-26,52
"05-27",0,2002-05-27,52
"05-28",0,2002-05-28,52
"05-29",0,2002-05-29,52
"05-30",0.0343385,2002-05-30,52
"05-31",0,2002-05-31,52
"06-01",0,2002-06-01,52
"06-02",0,2002-06-02,52
"06-03",0,2002-06-03,52
"06-04",0,2002-06-04,52
"06-05",0,2002-06-05,52
"06-06",0,2002-06-06,52
"06-07",0,2002-06-07,52
"06-08",0,2002-06-08,52
"06-09",0,2002-06-09,52
"06-10",0,2002-06-10,52
"06-11",0,2002-06-11,52
"06-12",0,2002-06-12,52
"06-13",0,2002-06-13,52
"06-14",0,2002-06-14,52
"06-15",0,2002-06-15,52
"06-16",0,2002-06-16,52
"06-17",0,2002-06-17,52
"06-18",0,2002-06-18,52
"06-19",0,2002-06-19,52
"06-20",0,2002-06-20,52
