ISO,cell,elevation,population_density,EVI,cattle,goat,sheep,irrigation,LC_180,LC_210,LC_150,LC_200,LC_120,LC_202,LC_130,LC_152,LC_20,LC_190,LC_10,LC_201,LC_110,LC_30,LC_90,LC_153,LC_40,LC_11,LC_50,LC_100,LC_170,LC_70,LC_62,LC_122,LC_60,annual_mean_temperature,mean_temperature_warmest_quarter,mean_temperature_coldest_quarter,annual_precipitation,precipitation_wettest_month,precipitation_driest_month,precipitation_seasonality_cv,precipitation_wettest_quarter,precipitation_driest_quarter,precipitation_warmest_quarter,precipitation_coldest_quarter,mean_diurnal_range,isothermality,temperature_seasonality,max_temperature_warmest_month,max_temperature_coldest_month,temperature_annual_range,mean_temperature_wettest_quarter,worldclim_9,nrow,ncol,lon,lat
ERI,22,45,467.2390494,467.2390494,544.7154381,544.7154381,544.7154381,0,0.059679767,0.013100437,0.868995633,0.058224163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.87232584,33.82611949,24.50472635,188.8656716,44.52238806,1.970149254,89.02300057,117.5820896,14.46268657,21.88059701,90,10.08569641,47.97016315,380.0959477,41.1119403,20.08806004,21.02388026,25.60422892,29.86417916,56,67,38.59041654,17.9579168
ERI,88,107,668.4581714,668.4581714,445.4985608,445.4985608,445.4985608,0,0,0,0.994408946,0.002396166,0.003194888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.84529769,33.86047617,24.41976219,203.5214286,46.66428571,2,82.79720813,120.2928571,17.18571429,26.80714286,91.70714286,10.87892845,49.56119851,384.0457308,41.63142842,19.68142876,21.94999966,25.4772619,29.93904766,56,67,38.49041654,17.8579168
ERI,89,53,617.8438854,617.8438854,485.3161758,485.3161758,485.3161758,0,0.027006173,0,0.926697531,0.043209877,0.00308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.75923027,33.66817133,24.41041683,199.6736111,45.625,2,84.27184688,119.6944444,16.32638889,25.04166667,91.97222222,10.33859965,48.77613282,377.0124149,41.06388887,19.86944424,21.19444463,25.47442132,29.81006938,56,67,38.59041654,17.8579168
ERI,90,-199,96.88579154,96.88579154,321.0076001,321.0076001,321.0076001,,0.130612245,0.040816327,0.546938776,0.240816327,0,0.040816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.60340907,33.38484955,24.35151482,195.8181818,44.27272727,2,84.8875937,118.1818182,15.68181818,24,91.81818182,10.0166668,48.73109003,368.0683511,40.42727332,19.87272679,20.55454653,25.40454561,29.61439393,56,67,38.69041654,17.8579168
ERI,155,137.5,871.1039677,871.1039677,456.5453267,456.5453267,456.5453267,0,0.00154321,0,0.997685185,0.000771605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.55940394,33.50057883,24.15289342,215.4583333,46.90277778,2.590277778,75.77436177,119.7847222,20.21527778,32.93055556,92.1875,11.01880793,50.36000901,379.6284114,41.24166661,19.36180544,21.87986117,25.1734954,29.73831015,56,67,38.49041654,17.7579168
ERI,156,80,587.5549242,587.5549242,404.1916204,404.1916204,404.1916204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.55651041,33.40266204,24.23958337,215.5138889,47.26388889,2.1875,78.86584224,123.2916667,18.95833333,29.80555556,95.70833333,10.72216448,50.00183609,372.4731157,40.93819457,19.49583332,21.44236125,25.24699091,29.67997678,56,67,38.59041654,17.7579168
ERI,157,-20.66666667,419.3466325,419.3466325,405.2781843,405.2781843,405.2781843,0,0.004830918,0.014492754,0.893719807,0.08115942,0,0.002898551,0.002898551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.45578697,33.15972226,24.23580254,207.7314815,45.35185185,2,80.51082067,120.8333333,17.62037037,27.08333333,94.62962963,10.28888877,49.83635987,362.9466019,40.29166667,19.64722257,20.64444409,25.24567911,29.52793208,56,67,38.69041654,17.7579168
ERI,220,396,519.7345238,519.7345238,899.673566,899.673566,899.673566,0,0,0,0.003690037,0.166051661,0.468634686,0,0.239852399,0,0,0,0.092250923,0.029520295,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74666678,30.67333317,21.19777768,244.4,45.33333333,6.433333333,59.40274137,106,30.93333333,70.9,75.33333333,10.74000003,51.53712489,385.7906291,37.21999995,16.38000015,20.83999977,24.15555547,26.39833342,56,67,38.29041654,17.6579168
ERI,221,289,4761.784495,4761.784495,834.4376401,834.4376401,834.4376401,0,0.008748906,0,0.540682415,0.214348206,0.174978128,0,0.030621172,0.000874891,0.023622047,0.006124234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.11311845,32.99257791,23.68932286,229.65625,47.5390625,3.3359375,68.18944573,117.21875,23.9609375,43.65625,89.8828125,11.30358066,51.89634809,377.3496671,40.51562491,18.73515622,21.78046869,24.67135406,29.44023432,56,67,38.39041654,17.6579168
ERI,222,183,815.5352659,815.5352659,587.8835999,587.8835999,587.8835999,0,0.00308642,0,0.962962963,0.033950617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.16848956,33.04085652,23.76782408,229.7291667,47.36111111,3.111111111,69.10664664,119.4861111,23.56944444,40.33333333,92.70138889,11.26209484,51.57267067,376.0547636,40.7270835,18.89027782,21.83680567,24.74340276,29.45474532,56,67,38.49041654,17.6579168
