ISO,cell,elevation,population_density,EVI,cattle,goat,sheep,irrigation,LC_200,LC_202,LC_210,LC_150,LC_180,LC_130,LC_120,LC_170,LC_201,LC_110,LC_30,LC_40,LC_153,LC_190,LC_20,LC_100,LC_62,LC_60,LC_11,LC_10,worldclim_1,worldclim_10,worldclim_11,worldclim_12,worldclim_13,worldclim_14,worldclim_15,worldclim_16,worldclim_17,worldclim_18,worldclim_19,worldclim_2,worldclim_3,worldclim_4,worldclim_5,worldclim_6,worldclim_7,worldclim_8,worldclim_9,nrow,ncol,lon,lat
DJI,13,183,565.952018737793,565.952018737793,453.133736253751,453.133736253751,453.133736253751,0,0.769764216366158,0,0,0.230235783633842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4800112440779,34.4457207757074,26.5639639158507,58.8108108108108,9.44594594594595,0,43.1753800366376,22.9189189189189,6.52702702702703,13.472972972973,13.6081081081081,9.13074332314569,50.9555366619213,324.556314829234,39.9662159584664,22.0472974261722,17.9189185322942,34.2441436148979,32.0367114350602,18,17,43.0070831813,12.6579168175
DJI,14,-6,1174.69659590721,1174.69659590721,531.163335229371,531.163335229371,531.163335229371,0,0.924651162790698,0.00372093023255814,0.00372093023255814,0.067906976744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.657585535294,34.4178060547918,26.9272080934965,49.5641025641026,8.7008547008547,0,45.0210072117993,19.1367521367521,4.7008547008547,10.4358974358974,12,8.77713658259465,51.1495584993281,309.622101090912,39.6581195603069,22.4999999673957,17.1581195929112,34.2539885757316,32.1163819793962,18,17,43.1070831813,12.6579168175
DJI,29,404,1343.0674943924,1343.0674943924,814.622282220792,814.622282220792,814.622282220792,0,0.709651898734177,0,0,0.274525316455696,0.0110759493670886,0.00237341772151899,0.00237341772151899,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5008692844309,33.5996401670168,25.4821342632925,87.6258992805756,12.5611510791367,1.05755395683453,39.2170650015632,33.1870503597122,12.2877697841727,22.5755395683453,19.7122302158273,9.11720621671608,50.4568806929554,333.607945503948,38.9474819101018,20.8798561096191,18.0676258004827,33.3267384124317,31.1896883326469,18,17,42.9070831813,12.5579168175
DJI,30,293.5,797.37185716629,797.37185716629,519.824693769825,519.824693769825,519.824693769825,0,0.773148148148148,0,0,0.220679012345679,0.00617283950617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8210647900899,33.8968750370873,25.8482639524672,75.1319444444444,10.8819444444444,0.513888888888889,40.7107596662309,28.2152777777778,9.54166666666667,17.9444444444444,17.3055555555556,8.8230323460367,49.6517177157932,331.297933154636,39.2375000052982,21.4680556323793,17.7694443729189,33.644675983323,31.4570602046119,18,17,43.0070831813,12.5579168175
DJI,31,122,1022.30353355408,1022.30353355408,440.797576732917,440.797576732917,440.797576732917,0,0.806327160493827,0,0,0.193672839506173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4341724448734,34.4097221162584,26.5655092133416,60.0694444444445,10.0972222222222,0,44.6228623655107,22.8680555555556,6.34027777777778,12.7708333333333,13.8888888888889,8.77841438187493,50.0004521475898,323.689046859741,39.8298614819845,22.2722222010295,17.557639280955,34.198958211475,31.9805558257633,18,17,43.1070831813,12.5579168175
DJI,32,-143,1839.17338371277,1839.17338371277,578.016562149499,578.016562149499,578.016562149499,0.107288599014282,0.992957746478873,0,0.00117370892018779,0.00586854460093897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.556491249486,34.3854393406918,26.8375439694053,52.7052631578947,9.16842105263158,0,45.4243996871145,19.4526315789474,4.90526315789474,10.2631578947368,12.5157894736842,8.51350864611174,50.1003990574887,312.448824270148,39.6010525352077,22.6084211851421,16.9926313500655,34.1496496702495,32.3392980675948,18,17,43.2070831813,12.5579168175
DJI,41,624,1330.23174571991,1330.23174571991,1001.87222658487,1001.87222658487,1001.87222658487,,0.950782997762864,0,0,0,0,0.0145413870246085,0,0,0.034675615212528,0,0,0,0,0,0,0,0,0,0,0,25.5783245208416,29.7712765957447,21.466134801824,241.287234042553,39.5744680851064,7.37234042553192,43.1905326843262,98.8085106382979,41.5744680851064,77.9893617021277,51.6382978723404,10.3633864991208,53.8802950027141,340.927710350524,35.3351062003602,16.1085106768507,19.226595553946,29.2945035163392,27.0235815454037,18,17,42.4070831813,12.4579168175
DJI,42,569.5,1084.39410114288,1084.39410114288,876.920608001165,876.920608001165,876.920608001165,0,0.993506493506494,0,0,0,0,0,0,0,0.00649350649350649,0,0,0,0,0,0,0,0,0,0,0,27.0092523939469,31.2780636759365,22.8203431157505,183.580882352941,29.0147058823529,4.83088235294118,41.6613784116857,73.8382352941177,31.0220588235294,57.0220588235294,39.8455882352941,10.2317401661592,53.2245666279512,346.643635020537,36.8485292266397,17.6257353389964,19.2227938876433,30.8520832482506,28.9697304753696,18,17,42.5070831813,12.4579168175
DJI,43,610,296.700386047363,296.700386047363,878.135037253262,878.135037253262,878.135037253262,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6824072943793,31.9522221883138,23.4974074045817,158.711111111111,24.6222222222222,3.97777777777778,40.4620474073622,62.8888888888889,26.4888888888889,48.1111111111111,33.8888888888889,9.90111120012071,52.3613077799479,346.406968858507,37.3844446818034,18.4755555046929,18.9088891771105,31.552222442627,29.5977778964573,18,17,42.6070831813,12.4579168175
DJI,45,625,589.973670244217,589.973670244217,1245.41180171251,1245.41180171251,1245.41180171251,,0.916666666666667,0,0,0.0669398907103825,0,0.00273224043715847,0,0,0,0.0136612021857924,0,0,0,0,0,0,0,0,0,0,28.9154056498879,33.1603070811222,24.7918860033939,111.131578947368,16.2368421052632,1.82894736842105,38.2991686369243,41.5394736842105,16.8289473684211,29.8421052631579,24.5657894736842,9.32708326138948,50.4988784790039,343.518182051809,38.5499995884143,20.0802631629141,18.4697364255002,32.8355260146292,30.6997808155261,18,17,42.8070831813,12.4579168175
