"daymonth_id","rainfall","day","time_series_id"
"01-01",0.13107195,2014-01-01,76
"01-02",2.2659291,2014-01-02,76
"01-03",0,2014-01-03,76
"01-04",0.7465396,2014-01-04,76
"01-05",0.94937655,2014-01-05,76
"01-06",0.46244775,2014-01-06,76
"01-07",1.09535565,2014-01-07,76
"01-08",0,2014-01-08,76
"01-09",0,2014-01-09,76
"01-10",2.4361711,2014-01-10,76
"01-11",3.58550765,2014-01-11,76
"01-12",0.8816703,2014-01-12,76
"01-13",0,2014-01-13,76
"01-14",0,2014-01-14,76
"01-15",0,2014-01-15,76
"01-16",0,2014-01-16,76
"01-17",0,2014-01-17,76
"01-18",1.22567405,2014-01-18,76
"01-19",24.9194291,2014-01-19,76
"01-20",0,2014-01-20,76
"01-21",0,2014-01-21,76
"01-22",0,2014-01-22,76
"01-23",0,2014-01-23,76
"01-24",2.9323401,2014-01-24,76
"01-25",0.4916777,2014-01-25,76
"01-26",0,2014-01-26,76
"01-27",0,2014-01-27,76
"01-28",0,2014-01-28,76
"01-29",0.5055731,2014-01-29,76
"01-30",0,2014-01-30,76
"01-31",4.26472175,2014-01-31,76
"02-01",0,2014-02-01,76
"02-02",0,2014-02-02,76
"02-03",0,2014-02-03,76
"02-04",0,2014-02-04,76
"02-05",0.2489562,2014-02-05,76
"02-06",0.33539375,2014-02-06,76
"02-07",0,2014-02-07,76
"02-08",4.3396585,2014-02-08,76
"02-09",3.26338975,2014-02-09,76
"02-10",0.17154465,2014-02-10,76
"02-11",0,2014-02-11,76
"02-12",1.7650483,2014-02-12,76
"02-13",0.0264297,2014-02-13,76
"02-14",0,2014-02-14,76
"02-15",0,2014-02-15,76
"02-16",0.0375812,2014-02-16,76
"02-17",0,2014-02-17,76
"02-18",3.35739645,2014-02-18,76
"02-19",0,2014-02-19,76
"02-20",0,2014-02-20,76
"02-21",1.28905095,2014-02-21,76
"02-22",0.45295775,2014-02-22,76
"02-23",0,2014-02-23,76
"02-24",0.54775955,2014-02-24,76
"02-25",0.43552665,2014-02-25,76
"02-26",0,2014-02-26,76
"02-27",0,2014-02-27,76
"02-28",0,2014-02-28,76
"03-01",0,2014-03-01,76
