"daymonth_id","rainfall","day","time_series_id"
"01-01",0,1981-01-01,5
"01-02",1.0890663,1981-01-02,5
"01-03",2.7653126,1981-01-03,5
"01-04",7.8353845,1981-01-04,5
"01-05",0,1981-01-05,5
"01-06",0,1981-01-06,5
"01-07",0,1981-01-07,5
"01-08",0,1981-01-08,5
"01-09",0,1981-01-09,5
"01-10",0,1981-01-10,5
"01-11",0,1981-01-11,5
"01-12",0,1981-01-12,5
"01-13",0,1981-01-13,5
"01-14",0,1981-01-14,5
"01-15",0,1981-01-15,5
"01-16",0,1981-01-16,5
"01-17",0,1981-01-17,5
"01-18",0,1981-01-18,5
"01-19",0,1981-01-19,5
"01-20",0,1981-01-20,5
"01-21",0,1981-01-21,5
"01-22",0,1981-01-22,5
"01-23",11.2621588,1981-01-23,5
"01-24",10.1751736,1981-01-24,5
"01-25",5.370518,1981-01-25,5
"01-26",0,1981-01-26,5
"01-27",0.3543238,1981-01-27,5
"01-28",1.4040467,1981-01-28,5
"01-29",7.8854844,1981-01-29,5
"01-30",2.4360411,1981-01-30,5
"01-31",0.0138394,1981-01-31,5
"02-01",0,1981-02-01,5
"02-02",0,1981-02-02,5
"02-03",21.9528377,1981-02-03,5
"02-04",1.0252898,1981-02-04,5
"02-05",0,1981-02-05,5
"02-06",0,1981-02-06,5
"02-07",0,1981-02-07,5
"02-08",0,1981-02-08,5
"02-09",0,1981-02-09,5
"02-10",0,1981-02-10,5
"02-11",0,1981-02-11,5
"02-12",0,1981-02-12,5
"02-13",0,1981-02-13,5
"02-14",0,1981-02-14,5
"02-15",0,1981-02-15,5
"02-16",0,1981-02-16,5
"02-17",0,1981-02-17,5
"02-18",0,1981-02-18,5
"02-19",0,1981-02-19,5
"02-20",0,1981-02-20,5
"02-21",0,1981-02-21,5
"02-22",0,1981-02-22,5
"02-23",0,1981-02-23,5
"02-24",0,1981-02-24,5
"02-25",0,1981-02-25,5
"02-26",0,1981-02-26,5
"02-27",0,1981-02-27,5
"02-28",0.865365,1981-02-28,5
"03-01",0,1981-03-01,5
"03-02",0,1981-03-02,5
"03-03",0,1981-03-03,5
"03-04",2.4207858,1981-03-04,5
"03-05",10.9138074,1981-03-05,5
"03-06",2.3522137,1981-03-06,5
"03-07",0,1981-03-07,5
"03-08",0,1981-03-08,5
"03-09",4.0678477,1981-03-09,5
"03-10",2.3178081,1981-03-10,5
"03-11",0,1981-03-11,5
"03-12",0.0710977,1981-03-12,5
"03-13",10.3832216,1981-03-13,5
"03-14",6.0587578,1981-03-14,5
"03-15",0,1981-03-15,5
"03-16",0,1981-03-16,5
"03-17",0,1981-03-17,5
"03-18",2.9086275,1981-03-18,5
"03-19",9.1712911,1981-03-19,5
"03-20",1.9454173,1981-03-20,5
"03-21",3.4685124,1981-03-21,5
"03-22",0,1981-03-22,5
"03-23",0,1981-03-23,5
"03-24",0,1981-03-24,5
"03-25",0,1981-03-25,5
"03-26",0,1981-03-26,5
"03-27",0,1981-03-27,5
"03-28",0,1981-03-28,5
"03-29",0,1981-03-29,5
"03-30",0,1981-03-30,5
"03-31",0,1981-03-31,5
"04-01",0,1981-04-01,5
"04-02",0,1981-04-02,5
"04-03",0,1981-04-03,5
"04-04",0,1981-04-04,5
"04-05",0,1981-04-05,5
"04-06",0,1981-04-06,5
"04-07",0,1981-04-07,5
"04-08",0,1981-04-08,5
"04-09",0,1981-04-09,5
"04-10",0,1981-04-10,5
"04-11",0,1981-04-11,5
"04-12",0.1180526,1981-04-12,5
"04-13",0.0006518,1981-04-13,5
"04-14",0,1981-04-14,5
"04-15",0,1981-04-15,5
"04-16",0,1981-04-16,5
"04-17",0,1981-04-17,5
"04-18",0,1981-04-18,5
"04-19",0,1981-04-19,5
"04-20",0,1981-04-20,5
"04-21",0,1981-04-21,5
"04-22",0,1981-04-22,5
"04-23",0,1981-04-23,5
"04-24",0,1981-04-24,5
"04-25",0,1981-04-25,5
"04-26",0,1981-04-26,5
"04-27",0,1981-04-27,5
