"daymonth_id","rainfall","day","time_series_id"
"01-01",0,1984-01-01,7
"01-02",0.22337955,1984-01-02,7
"01-03",3.27611795,1984-01-03,7
"01-04",4.09279965,1984-01-04,7
"01-05",0,1984-01-05,7
"01-06",1.58139975,1984-01-06,7
"01-07",0,1984-01-07,7
"01-08",0,1984-01-08,7
"01-09",0,1984-01-09,7
"01-10",2.5624535,1984-01-10,7
"01-11",1.4338212,1984-01-11,7
"01-12",0,1984-01-12,7
"01-13",0,1984-01-13,7
"01-14",0,1984-01-14,7
"01-15",0,1984-01-15,7
"01-16",0,1984-01-16,7
"01-17",0,1984-01-17,7
"01-18",0,1984-01-18,7
"01-19",0.1585262,1984-01-19,7
"01-20",0,1984-01-20,7
"01-21",0,1984-01-21,7
"01-22",0,1984-01-22,7
"01-23",0,1984-01-23,7
"01-24",0.0757687,1984-01-24,7
"01-25",0,1984-01-25,7
"01-26",2.40641765,1984-01-26,7
"01-27",0.2968827,1984-01-27,7
"01-28",0,1984-01-28,7
"01-29",2.23133575,1984-01-29,7
"01-30",0.00500955,1984-01-30,7
"01-31",0,1984-01-31,7
"02-01",0,1984-02-01,7
"02-02",0,1984-02-02,7
"02-03",0.360226,1984-02-03,7
"02-04",0,1984-02-04,7
"02-05",0,1984-02-05,7
"02-06",0,1984-02-06,7
"02-07",0,1984-02-07,7
"02-08",0,1984-02-08,7
"02-09",0,1984-02-09,7
"02-10",0,1984-02-10,7
"02-11",0,1984-02-11,7
"02-12",0,1984-02-12,7
"02-13",0,1984-02-13,7
"02-14",0,1984-02-14,7
"02-15",0,1984-02-15,7
"02-16",0,1984-02-16,7
"02-17",0,1984-02-17,7
"02-18",0,1984-02-18,7
"02-19",0,1984-02-19,7
"02-20",0.11358715,1984-02-20,7
"02-21",0,1984-02-21,7
"02-22",0,1984-02-22,7
"02-23",0,1984-02-23,7
"02-24",1.996882,1984-02-24,7
"02-25",2.22800905,1984-02-25,7
"02-26",0,1984-02-26,7
"02-27",0.395865,1984-02-27,7
"02-28",2.000045,1984-02-28,7
"02-29",1.73383,1984-02-29,7
"03-01",0,1984-03-01,7
"03-02",0,1984-03-02,7
"03-03",0.06070195,1984-03-03,7
"03-04",0,1984-03-04,7
"03-05",0.01435175,1984-03-05,7
"03-06",0.8096846,1984-03-06,7
"03-07",0.09362,1984-03-07,7
"03-08",0,1984-03-08,7
"03-09",0,1984-03-09,7
"03-10",0.0068722,1984-03-10,7
"03-11",0,1984-03-11,7
"03-12",0,1984-03-12,7
"03-13",0,1984-03-13,7
"03-14",0,1984-03-14,7
"03-15",1.902154,1984-03-15,7
"03-16",0.20522385,1984-03-16,7
"03-17",0,1984-03-17,7
"03-18",0.98052775,1984-03-18,7
"03-19",2.40169645,1984-03-19,7
"03-20",0.00145265,1984-03-20,7
"03-21",0,1984-03-21,7
"03-22",0,1984-03-22,7
"03-23",0,1984-03-23,7
"03-24",0.0177164,1984-03-24,7
"03-25",0.0019039,1984-03-25,7
"03-26",0,1984-03-26,7
"03-27",0,1984-03-27,7
"03-28",0,1984-03-28,7
"03-29",0,1984-03-29,7
"03-30",3.24533115,1984-03-30,7
"03-31",0.66184775,1984-03-31,7
"04-01",0.09415825,1984-04-01,7
"04-02",0,1984-04-02,7
"04-03",0,1984-04-03,7
"04-04",0,1984-04-04,7
"04-05",0,1984-04-05,7
"04-06",0,1984-04-06,7
"04-07",0,1984-04-07,7
"04-08",0,1984-04-08,7
"04-09",0.0803557,1984-04-09,7
"04-10",0,1984-04-10,7
"04-11",0.03251775,1984-04-11,7
"04-12",0,1984-04-12,7
"04-13",0,1984-04-13,7
"04-14",0,1984-04-14,7
"04-15",0,1984-04-15,7
"04-16",0,1984-04-16,7
"04-17",0.0886455,1984-04-17,7
"04-18",0,1984-04-18,7
"04-19",0,1984-04-19,7
"04-20",0,1984-04-20,7
"04-21",0,1984-04-21,7
"04-22",0,1984-04-22,7
"04-23",0,1984-04-23,7
"04-24",0.1979798,1984-04-24,7
"04-25",0.1997775,1984-04-25,7
"04-26",0,1984-04-26,7
"04-27",0,1984-04-27,7
"04-28",0,1984-04-28,7
"04-29",0.60469815,1984-04-29,7
"04-30",0.5331891,1984-04-30,7
"05-01",0,1984-05-01,7
"05-02",0,1984-05-02,7
"05-03",0,1984-05-03,7
"05-04",0.0127915,1984-05-04,7
"05-05",0.0635462,1984-05-05,7
"05-06",0.04046175,1984-05-06,7
"05-07",0,1984-05-07,7
"05-08",0.39747145,1984-05-08,7
"05-09",0,1984-05-09,7
"05-10",0.4828232,1984-05-10,7
"05-11",0.22137605,1984-05-11,7
"05-12",0,1984-05-12,7
"05-13",0.18898005,1984-05-13,7
"05-14",0.0087262,1984-05-14,7
"05-15",0.0087262,1984-05-15,7
"05-16",0,1984-05-16,7
"05-17",0,1984-05-17,7
"05-18",0,1984-05-18,7
"05-19",0,1984-05-19,7
"05-20",0.0010022,1984-05-20,7
"05-21",0,1984-05-21,7
"05-22",0,1984-05-22,7
"05-23",0,1984-05-23,7
"05-24",0,1984-05-24,7
"05-25",0,1984-05-25,7
"05-26",0,1984-05-26,7
"05-27",0,1984-05-27,7
"05-28",0,1984-05-28,7
"05-29",0,1984-05-29,7
"05-30",0,1984-05-30,7
"05-31",0,1984-05-31,7
"06-01",0.000101,1984-06-01,7
"06-02",0.000101,1984-06-02,7
"06-03",0.000101,1984-06-03,7
"06-04",0.000101,1984-06-04,7
"06-05",0.000101,1984-06-05,7
"06-06",0,1984-06-06,7
"06-07",0,1984-06-07,7
"06-08",0,1984-06-08,7
"06-09",0,1984-06-09,7
"06-10",0,1984-06-10,7
"06-11",0,1984-06-11,7
"06-12",0,1984-06-12,7
"06-13",0,1984-06-13,7
"06-14",0,1984-06-14,7
"06-15",0,1984-06-15,7
"06-16",0,1984-06-16,7
"06-17",0,1984-06-17,7
"06-18",0,1984-06-18,7
"06-19",0,1984-06-19,7
"06-20",0,1984-06-20,7
"06-21",0,1984-06-21,7
"06-22",0,1984-06-22,7
"06-23",0,1984-06-23,7
"06-24",0,1984-06-24,7
"06-25",0,1984-06-25,7
"06-26",6.795e-05,1984-06-26,7
"06-27",6.795e-05,1984-06-27,7
"06-28",6.795e-05,1984-06-28,7
"06-29",6.795e-05,1984-06-29,7
"06-30",6.795e-05,1984-06-30,7
"07-01",0,1984-07-01,7
"07-02",0,1984-07-02,7
"07-03",0,1984-07-03,7
"07-04",0,1984-07-04,7
"07-05",0,1984-07-05,7
"07-06",0,1984-07-06,7
"07-07",0,1984-07-07,7
"07-08",0,1984-07-08,7
"07-09",0,1984-07-09,7
"07-10",0,1984-07-10,7
"07-11",0.08509745,1984-07-11,7
"07-12",0,1984-07-12,7
"07-13",0,1984-07-13,7
"07-14",0.21439105,1984-07-14,7
"07-15",0.01370385,1984-07-15,7
"07-16",0.12231625,1984-07-16,7
"07-17",0,1984-07-17,7
"07-18",0.036955,1984-07-18,7
"07-19",0.14659025,1984-07-19,7
"07-20",0.0181778,1984-07-20,7
"07-21",0.00486255,1984-07-21,7
"07-22",0.0613655,1984-07-22,7
"07-23",0,1984-07-23,7
"07-24",0,1984-07-24,7
"07-25",0,1984-07-25,7
"07-26",0,1984-07-26,7
"07-27",0.2206337,1984-07-27,7
"07-28",0,1984-07-28,7
"07-29",0,1984-07-29,7
"07-30",0.07395825,1984-07-30,7
"07-31",0.0014126,1984-07-31,7
"08-01",0.00012065,1984-08-01,7
"08-02",0.00012065,1984-08-02,7
"08-03",0.00012065,1984-08-03,7
"08-04",0.00012065,1984-08-04,7
