"daymonth_id","rainfall","day","time_series_id"
"01-01",1.3348411,2014-01-01,67
"01-02",0,2014-01-02,67
"01-03",3.3782271,2014-01-03,67
"01-04",0.2182346,2014-01-04,67
"01-05",0,2014-01-05,67
"01-06",0,2014-01-06,67
"01-07",0,2014-01-07,67
"01-08",0,2014-01-08,67
"01-09",0,2014-01-09,67
"01-10",0.3793722,2014-01-10,67
"01-11",0,2014-01-11,67
"01-12",0,2014-01-12,67
"01-13",0,2014-01-13,67
"01-14",0,2014-01-14,67
"01-15",0.0058925,2014-01-15,67
"01-16",0,2014-01-16,67
"01-17",0,2014-01-17,67
"01-18",0,2014-01-18,67
"01-19",0,2014-01-19,67
"01-20",0,2014-01-20,67
"01-21",0,2014-01-21,67
"01-22",0,2014-01-22,67
"01-23",0,2014-01-23,67
"01-24",0,2014-01-24,67
"01-25",0,2014-01-25,67
"01-26",0,2014-01-26,67
"01-27",0,2014-01-27,67
"01-28",0,2014-01-28,67
"01-29",0,2014-01-29,67
"01-30",0,2014-01-30,67
"01-31",0,2014-01-31,67
"02-01",0,2014-02-01,67
"02-02",0,2014-02-02,67
"02-03",0,2014-02-03,67
"02-04",0,2014-02-04,67
"02-05",0,2014-02-05,67
"02-06",0,2014-02-06,67
"02-07",0,2014-02-07,67
"02-08",0,2014-02-08,67
"02-09",0,2014-02-09,67
"02-10",0,2014-02-10,67
"02-11",0,2014-02-11,67
"02-12",0,2014-02-12,67
"02-13",0,2014-02-13,67
"02-14",0,2014-02-14,67
"02-15",0,2014-02-15,67
"02-16",0,2014-02-16,67
"02-17",0,2014-02-17,67
"02-18",0,2014-02-18,67
"02-19",0,2014-02-19,67
"02-20",0,2014-02-20,67
"02-21",0,2014-02-21,67
"02-22",0,2014-02-22,67
"02-23",0,2014-02-23,67
"02-24",0,2014-02-24,67
"02-25",0,2014-02-25,67
"02-26",0,2014-02-26,67
"02-27",0,2014-02-27,67
"02-28",0,2014-02-28,67
"03-01",0,2014-03-01,67
"03-02",0,2014-03-02,67
"03-03",0,2014-03-03,67
"03-04",0,2014-03-04,67
"03-05",0,2014-03-05,67
"03-06",0,2014-03-06,67
"03-07",0,2014-03-07,67
"03-08",0,2014-03-08,67
"03-09",0,2014-03-09,67
"03-10",0,2014-03-10,67
"03-11",0,2014-03-11,67
"03-12",0,2014-03-12,67
"03-13",0,2014-03-13,67
"03-14",0,2014-03-14,67
"03-15",0,2014-03-15,67
"03-16",0,2014-03-16,67
"03-17",0,2014-03-17,67
"03-18",0,2014-03-18,67
"03-19",0,2014-03-19,67
"03-20",0,2014-03-20,67
"03-21",0,2014-03-21,67
"03-22",0,2014-03-22,67
"03-23",0,2014-03-23,67
"03-24",0,2014-03-24,67
"03-25",0,2014-03-25,67
"03-26",0,2014-03-26,67
"03-27",0,2014-03-27,67
"03-28",0,2014-03-28,67
"03-29",0,2014-03-29,67
"03-30",0,2014-03-30,67
"03-31",0,2014-03-31,67
"04-01",0,2014-04-01,67
"04-02",0,2014-04-02,67
"04-03",0,2014-04-03,67
"04-04",0,2014-04-04,67
"04-05",0,2014-04-05,67
"04-06",0,2014-04-06,67
"04-07",0,2014-04-07,67
"04-08",0,2014-04-08,67
"04-09",0,2014-04-09,67
"04-10",0,2014-04-10,67
"04-11",0,2014-04-11,67
"04-12",0,2014-04-12,67
"04-13",0,2014-04-13,67
"04-14",0,2014-04-14,67
"04-15",0,2014-04-15,67
"04-16",0,2014-04-16,67
"04-17",0,2014-04-17,67
"04-18",0,2014-04-18,67
"04-19",0,2014-04-19,67
"04-20",0,2014-04-20,67
"04-21",0,2014-04-21,67
"04-22",0,2014-04-22,67
"04-23",0,2014-04-23,67
"04-24",0,2014-04-24,67
"04-25",0,2014-04-25,67
"04-26",0,2014-04-26,67
"04-27",0,2014-04-27,67
"04-28",0,2014-04-28,67
"04-29",0,2014-04-29,67
"04-30",0,2014-04-30,67
"05-01",0,2014-05-01,67
"05-02",0,2014-05-02,67
"05-03",4.8418387,2014-05-03,67
"05-04",0,2014-05-04,67
"05-05",0,2014-05-05,67
"05-06",0,2014-05-06,67
"05-07",6.5358532,2014-05-07,67
"05-08",4.8381731,2014-05-08,67
"05-09",0,2014-05-09,67
"05-10",0,2014-05-10,67
"05-11",0,2014-05-11,67
"05-12",0,2014-05-12,67
"05-13",0,2014-05-13,67
"05-14",0,2014-05-14,67
"05-15",0,2014-05-15,67
"05-16",0,2014-05-16,67
"05-17",0,2014-05-17,67
"05-18",0.4262722,2014-05-18,67
"05-19",0,2014-05-19,67
"05-20",0,2014-05-20,67
"05-21",0,2014-05-21,67
"05-22",0.0074622,2014-05-22,67
"05-23",0,2014-05-23,67
"05-24",0,2014-05-24,67
"05-25",4.7380552,2014-05-25,67
"05-26",0,2014-05-26,67
"05-27",0,2014-05-27,67
"05-28",0,2014-05-28,67
"05-29",0,2014-05-29,67
"05-30",0,2014-05-30,67
"05-31",0,2014-05-31,67
"06-01",0,2014-06-01,67
"06-02",5.4185863,2014-06-02,67
"06-03",0,2014-06-03,67
"06-04",0,2014-06-04,67
"06-05",10.039645,2014-06-05,67
"06-06",0,2014-06-06,67
"06-07",0,2014-06-07,67
"06-08",19.116092,2014-06-08,67
"06-09",19.4127033,2014-06-09,67
"06-10",0,2014-06-10,67
"06-11",0,2014-06-11,67
"06-12",0,2014-06-12,67
"06-13",4.0596719,2014-06-13,67
"06-14",2.3198127,2014-06-14,67
"06-15",0,2014-06-15,67
"06-16",0,2014-06-16,67
"06-17",0,2014-06-17,67
"06-18",0,2014-06-18,67
"06-19",0,2014-06-19,67
"06-20",4.1739393,2014-06-20,67
"06-21",6.3895524,2014-06-21,67
"06-22",0,2014-06-22,67
