"daymonth_id","rainfall","day","time_series_id"
"01-01",1.9727331,2015-01-01,85
"01-02",1.0829862,2015-01-02,85
"01-03",0,2015-01-03,85
"01-04",0,2015-01-04,85
"01-05",1.05348155,2015-01-05,85
"01-06",0,2015-01-06,85
"01-07",0.4792292,2015-01-07,85
"01-08",0,2015-01-08,85
"01-09",0.40663745,2015-01-09,85
"01-10",0,2015-01-10,85
"01-11",0,2015-01-11,85
"01-12",0,2015-01-12,85
"01-13",0,2015-01-13,85
"01-14",0,2015-01-14,85
"01-15",0.0055975,2015-01-15,85
"01-16",0.0054156,2015-01-16,85
"01-17",0,2015-01-17,85
"01-18",0,2015-01-18,85
"01-19",0,2015-01-19,85
"01-20",0.0025454,2015-01-20,85
"01-21",0,2015-01-21,85
"01-22",0,2015-01-22,85
"01-23",0,2015-01-23,85
"01-24",0,2015-01-24,85
"01-25",0,2015-01-25,85
"01-26",0,2015-01-26,85
"01-27",0,2015-01-27,85
"01-28",0,2015-01-28,85
"01-29",0,2015-01-29,85
"01-30",0,2015-01-30,85
"01-31",0,2015-01-31,85
"02-01",0,2015-02-01,85
"02-02",0,2015-02-02,85
"02-03",0,2015-02-03,85
"02-04",0,2015-02-04,85
"02-05",0.00086445,2015-02-05,85
"02-06",0.0027976,2015-02-06,85
"02-07",0,2015-02-07,85
"02-08",0,2015-02-08,85
"02-09",0,2015-02-09,85
"02-10",0,2015-02-10,85
"02-11",0,2015-02-11,85
"02-12",0,2015-02-12,85
"02-13",0,2015-02-13,85
"02-14",0,2015-02-14,85
"02-15",0,2015-02-15,85
"02-16",0,2015-02-16,85
"02-17",0,2015-02-17,85
"02-18",0,2015-02-18,85
"02-19",0,2015-02-19,85
"02-20",0,2015-02-20,85
"02-21",0,2015-02-21,85
"02-22",0,2015-02-22,85
"02-23",0,2015-02-23,85
"02-24",0,2015-02-24,85
"02-25",0,2015-02-25,85
"02-26",0,2015-02-26,85
"02-27",0,2015-02-27,85
"02-28",0,2015-02-28,85
"02-29",0,2015-03-01,85
"03-01",0,2015-03-02,85
"03-02",0,2015-03-03,85
"03-03",0,2015-03-04,85
"03-04",0,2015-03-05,85
"03-05",0,2015-03-06,85
"03-06",0,2015-03-07,85
"03-07",0,2015-03-08,85
"03-08",0,2015-03-09,85
"03-09",0,2015-03-10,85
"03-10",0,2015-03-11,85
"03-11",0,2015-03-12,85
"03-12",0,2015-03-13,85
"03-13",0,2015-03-14,85
"03-14",0,2015-03-15,85
"03-15",0,2015-03-16,85
"03-16",0,2015-03-17,85
"03-17",0,2015-03-18,85
"03-18",0,2015-03-19,85
"03-19",0,2015-03-20,85
"03-20",0,2015-03-21,85
"03-21",0,2015-03-22,85
"03-22",0,2015-03-23,85
"03-23",0,2015-03-24,85
"03-24",0,2015-03-25,85
"03-25",0,2015-03-26,85
"03-26",0,2015-03-27,85
"03-27",0,2015-03-28,85
"03-28",0,2015-03-29,85
"03-29",0,2015-03-30,85
"03-30",0,2015-03-31,85
"03-31",0,2015-04-01,85
"04-01",0,2015-04-02,85
"04-02",0,2015-04-03,85
"04-03",0,2015-04-04,85
"04-04",0,2015-04-05,85
"04-05",0,2015-04-06,85
"04-06",0,2015-04-07,85
"04-07",0,2015-04-08,85
"04-08",0,2015-04-09,85
"04-09",0.05490415,2015-04-10,85
"04-10",0,2015-04-11,85
"04-11",0,2015-04-12,85
"04-12",5.22063645,2015-04-13,85
"04-13",0,2015-04-14,85
"04-14",0,2015-04-15,85
"04-15",0.85042765,2015-04-16,85
"04-16",0,2015-04-17,85
"04-17",0,2015-04-18,85
"04-18",0,2015-04-19,85
"04-19",0,2015-04-20,85
"04-20",0,2015-04-21,85
"04-21",0,2015-04-22,85
"04-22",0,2015-04-23,85
"04-23",0,2015-04-24,85
"04-24",4.19999815,2015-04-25,85
"04-25",0,2015-04-26,85
"04-26",0,2015-04-27,85
"04-27",0,2015-04-28,85
"04-28",0,2015-04-29,85
"04-29",0,2015-04-30,85
"04-30",0,2015-05-01,85
"05-01",0,2015-05-02,85
"05-02",0,2015-05-03,85
"05-03",0,2015-05-04,85
"05-04",0,2015-05-05,85
"05-05",0,2015-05-06,85
"05-06",1.96518305,2015-05-07,85
"05-07",0,2015-05-08,85
"05-08",0,2015-05-09,85
"05-09",0,2015-05-10,85
"05-10",0,2015-05-11,85
"05-11",0.09854345,2015-05-12,85
"05-12",0,2015-05-13,85
"05-13",2.1857736,2015-05-14,85
"05-14",1.54644255,2015-05-15,85
"05-15",3.3128197,2015-05-16,85
"05-16",4.3202772,2015-05-17,85
"05-17",6.2247492,2015-05-18,85
"05-18",5.15334085,2015-05-19,85
"05-19",2.0984616,2015-05-20,85
"05-20",0.57705645,2015-05-21,85
"05-21",0,2015-05-22,85
"05-22",0,2015-05-23,85
"05-23",0.1459328,2015-05-24,85
"05-24",0,2015-05-25,85
"05-25",0,2015-05-26,85
"05-26",2.761811,2015-05-27,85
"05-27",7.3287039,2015-05-28,85
"05-28",0,2015-05-29,85
"05-29",0,2015-05-30,85
"05-30",0,2015-05-31,85
"05-31",0,2015-06-01,85
"06-01",3.36339135,2015-06-02,85
