"daymonth_id","rainfall","day","time_series_id"
"01-01",0,1984-01-01,8
"01-02",0.22337955,1984-01-02,8
"01-03",3.27611795,1984-01-03,8
"01-04",4.09279965,1984-01-04,8
"01-05",0,1984-01-05,8
"01-06",1.58139975,1984-01-06,8
"01-07",0,1984-01-07,8
"01-08",0,1984-01-08,8
"01-09",0,1984-01-09,8
"01-10",2.5624535,1984-01-10,8
"01-11",1.4338212,1984-01-11,8
"01-12",0,1984-01-12,8
"01-13",0,1984-01-13,8
"01-14",0,1984-01-14,8
"01-15",0,1984-01-15,8
"01-16",0,1984-01-16,8
"01-17",0,1984-01-17,8
"01-18",0,1984-01-18,8
"01-19",0.1585262,1984-01-19,8
"01-20",0,1984-01-20,8
"01-21",0,1984-01-21,8
"01-22",0,1984-01-22,8
"01-23",0,1984-01-23,8
"01-24",0.0757687,1984-01-24,8
"01-25",0,1984-01-25,8
"01-26",2.40641765,1984-01-26,8
"01-27",0.2968827,1984-01-27,8
"01-28",0,1984-01-28,8
"01-29",2.23133575,1984-01-29,8
"01-30",0.00500955,1984-01-30,8
"01-31",0,1984-01-31,8
"02-01",0,1984-02-01,8
"02-02",0,1984-02-02,8
"02-03",0.360226,1984-02-03,8
"02-04",0,1984-02-04,8
"02-05",0,1984-02-05,8
"02-06",0,1984-02-06,8
"02-07",0,1984-02-07,8
"02-08",0,1984-02-08,8
"02-09",0,1984-02-09,8
"02-10",0,1984-02-10,8
"02-11",0,1984-02-11,8
"02-12",0,1984-02-12,8
"02-13",0,1984-02-13,8
"02-14",0,1984-02-14,8
"02-15",0,1984-02-15,8
"02-16",0,1984-02-16,8
"02-17",0,1984-02-17,8
"02-18",0,1984-02-18,8
"02-19",0,1984-02-19,8
"02-20",0.11358715,1984-02-20,8
"02-21",0,1984-02-21,8
"02-22",0,1984-02-22,8
"02-23",0,1984-02-23,8
"02-24",1.996882,1984-02-24,8
"02-25",2.22800905,1984-02-25,8
"02-26",0,1984-02-26,8
"02-27",0.395865,1984-02-27,8
"02-28",2.000045,1984-02-28,8
"02-29",1.73383,1984-02-29,8
"03-01",0,1984-03-01,8
"03-02",0,1984-03-02,8
"03-03",0.06070195,1984-03-03,8
"03-04",0,1984-03-04,8
"03-05",0.01435175,1984-03-05,8
"03-06",0.8096846,1984-03-06,8
"03-07",0.09362,1984-03-07,8
"03-08",0,1984-03-08,8
"03-09",0,1984-03-09,8
"03-10",0.0068722,1984-03-10,8
"03-11",0,1984-03-11,8
"03-12",0,1984-03-12,8
"03-13",0,1984-03-13,8
"03-14",0,1984-03-14,8
"03-15",1.902154,1984-03-15,8
"03-16",0.20522385,1984-03-16,8
"03-17",0,1984-03-17,8
"03-18",0.98052775,1984-03-18,8
"03-19",2.40169645,1984-03-19,8
"03-20",0.00145265,1984-03-20,8
"03-21",0,1984-03-21,8
"03-22",0,1984-03-22,8
"03-23",0,1984-03-23,8
"03-24",0.0177164,1984-03-24,8
"03-25",0.0019039,1984-03-25,8
"03-26",0,1984-03-26,8
"03-27",0,1984-03-27,8
"03-28",0,1984-03-28,8
"03-29",0,1984-03-29,8
"03-30",3.24533115,1984-03-30,8
"03-31",0.66184775,1984-03-31,8
"04-01",0.09415825,1984-04-01,8
"04-02",0,1984-04-02,8
"04-03",0,1984-04-03,8
"04-04",0,1984-04-04,8
"04-05",0,1984-04-05,8
"04-06",0,1984-04-06,8
"04-07",0,1984-04-07,8
"04-08",0,1984-04-08,8
"04-09",0.0803557,1984-04-09,8
"04-10",0,1984-04-10,8
"04-11",0.03251775,1984-04-11,8
"04-12",0,1984-04-12,8
