"daymonth_id","mean_2m_air_temperature","day","time_series_id","mean_2m_air_temperature_celsius"
"01-01",283.66906635,2014-01-01,75,10.51906635
"01-02",284.82363605,2014-01-02,75,11.67363605
"01-03",284.51539235,2014-01-03,75,11.36539235
"01-04",284.01404625,2014-01-04,75,10.86404625
"01-05",284.3705644,2014-01-05,75,11.2205644000001
"01-06",283.96453095,2014-01-06,75,10.81453095
"01-07",284.4858262,2014-01-07,75,11.3358262
"01-08",283.52637715,2014-01-08,75,10.3763771500001
"01-09",282.56518535,2014-01-09,75,9.41518535
"01-10",282.6857696,2014-01-10,75,9.53576959999998
"01-11",283.2683874,2014-01-11,75,10.1183874
"01-12",284.12045915,2014-01-12,75,10.97045915
"01-13",284.8928517,2014-01-13,75,11.7428517
"01-14",285.1432479,2014-01-14,75,11.9932479
"01-15",285.7851366,2014-01-15,75,12.6351366
"01-16",286.1686691,2014-01-16,75,13.0186691
"01-17",285.32657105,2014-01-17,75,12.17657105
"01-18",285.7103117,2014-01-18,75,12.5603117000001
"01-19",286.0709641,2014-01-19,75,12.9209641
"01-20",285.8854196,2014-01-20,75,12.7354196
"01-21",285.85209855,2014-01-21,75,12.70209855
"01-22",286.14364065,2014-01-22,75,12.99364065
"01-23",285.9794504,2014-01-23,75,12.8294504
"01-24",285.6852731,2014-01-24,75,12.5352731
"01-25",285.98080645,2014-01-25,75,12.83080645
"01-26",286.0239784,2014-01-26,75,12.8739784000001
"01-27",285.7361578,2014-01-27,75,12.5861578
"01-28",286.53846635,2014-01-28,75,13.38846635
"01-29",287.01341855,2014-01-29,75,13.86341855
"01-30",286.30772735,2014-01-30,75,13.15772735
"01-31",287.5176287,2014-01-31,75,14.3676287
"02-01",287.23904015,2014-02-01,75,14.08904015
"02-02",287.81155875,2014-02-02,75,14.66155875
"02-03",287.00614435,2014-02-03,75,13.85614435
"02-04",286.9869999,2014-02-04,75,13.8369999
"02-05",287.98457025,2014-02-05,75,14.83457025
"02-06",287.1163682,2014-02-06,75,13.9663682
