"daymonth_id","mean_2m_air_temperature","day","time_series_id","mean_2m_air_temperature_celsius"
"01-01",299.05488915,2015-01-01,85,25.90488915
"01-02",299.02940955,2015-01-02,85,25.87940955
"01-03",298.7141227,2015-01-03,85,25.5641227
"01-04",298.8114156,2015-01-04,85,25.6614156000001
"01-05",298.69900645,2015-01-05,85,25.54900645
"01-06",298.6400473,2015-01-06,85,25.4900473
"01-07",298.45647965,2015-01-07,85,25.30647965
"01-08",298.2179585,2015-01-08,85,25.0679585
"01-09",297.31592165,2015-01-09,85,24.16592165
"01-10",296.92437915,2015-01-10,85,23.7743791500001
"01-11",297.0855966,2015-01-11,85,23.9355966000001
"01-12",296.9325372,2015-01-12,85,23.7825372
"01-13",296.85787165,2015-01-13,85,23.70787165
"01-14",297.03182525,2015-01-14,85,23.88182525
"01-15",297.6159675,2015-01-15,85,24.4659675
"01-16",297.6448404,2015-01-16,85,24.4948404
"01-17",297.54985165,2015-01-17,85,24.39985165
"01-18",297.84300755,2015-01-18,85,24.69300755
"01-19",298.2895911,2015-01-19,85,25.1395911
"01-20",298.47119535,2015-01-20,85,25.32119535
"01-21",298.7405815,2015-01-21,85,25.5905815
"01-22",298.48124465,2015-01-22,85,25.33124465
"01-23",298.49111575,2015-01-23,85,25.34111575
"01-24",298.70757475,2015-01-24,85,25.55757475
"01-25",298.56341605,2015-01-25,85,25.41341605
"01-26",298.5622085,2015-01-26,85,25.4122085
"01-27",298.43053895,2015-01-27,85,25.2805389500001
"01-28",298.56909255,2015-01-28,85,25.41909255
"01-29",298.6203758,2015-01-29,85,25.4703758000001
"01-30",298.4879414,2015-01-30,85,25.3379414
"01-31",298.31480985,2015-01-31,85,25.16480985
"02-01",298.2554038,2015-02-01,85,25.1054038
"02-02",298.16680345,2015-02-02,85,25.01680345
"02-03",298.45131915,2015-02-03,85,25.30131915
"02-04",298.6126439,2015-02-04,85,25.4626439
"02-05",298.7667603,2015-02-05,85,25.6167603
"02-06",298.73807255,2015-02-06,85,25.58807255
"02-07",298.9521508,2015-02-07,85,25.8021508
"02-08",298.86105185,2015-02-08,85,25.71105185
"02-09",298.7410939,2015-02-09,85,25.5910939
"02-10",298.7484371,2015-02-10,85,25.5984371
"02-11",299.16741585,2015-02-11,85,26.01741585
"02-12",299.3526118,2015-02-12,85,26.2026118
"02-13",299.048079,2015-02-13,85,25.8980790000001
"02-14",298.98485355,2015-02-14,85,25.83485355
"02-15",299.57894415,2015-02-15,85,26.42894415
"02-16",299.4369243,2015-02-16,85,26.2869243
"02-17",299.67565635,2015-02-17,85,26.52565635
"02-18",299.523717,2015-02-18,85,26.3737170000001
"02-19",299.59461125,2015-02-19,85,26.44461125
"02-20",299.86350515,2015-02-20,85,26.7135051500001
"02-21",299.86025735,2015-02-21,85,26.71025735
"02-22",299.6428877,2015-02-22,85,26.4928877
"02-23",299.24728625,2015-02-23,85,26.09728625
"02-24",299.38702595,2015-02-24,85,26.23702595
"02-25",299.74960275,2015-02-25,85,26.59960275
"02-26",300.3711113,2015-02-26,85,27.2211113
"02-27",301.1007244,2015-02-27,85,27.9507244
"02-28",301.1549543,2015-02-28,85,28.0049543
"02-29",301.1307617,2015-03-01,85,27.9807617
"03-01",301.1259363,2015-03-02,85,27.9759363000001
"03-02",300.70895305,2015-03-03,85,27.55895305
"03-03",300.69961575,2015-03-04,85,27.54961575
"03-04",300.85421345,2015-03-05,85,27.70421345
"03-05",301.2688837,2015-03-06,85,28.1188837
"03-06",301.0742793,2015-03-07,85,27.9242793
"03-07",300.99317505,2015-03-08,85,27.84317505
"03-08",300.90045975,2015-03-09,85,27.75045975
"03-09",301.0555359,2015-03-10,85,27.9055359
"03-10",301.0419187,2015-03-11,85,27.8919187
"03-11",301.29829915,2015-03-12,85,28.14829915
"03-12",301.73137495,2015-03-13,85,28.5813749500001
"03-13",301.6671896,2015-03-14,85,28.5171896000001
"03-14",301.71597315,2015-03-15,85,28.56597315
"03-15",301.5381478,2015-03-16,85,28.3881478
"03-16",301.65051325,2015-03-17,85,28.50051325
"03-17",301.3079326,2015-03-18,85,28.1579326
"03-18",301.39364385,2015-03-19,85,28.24364385
"03-19",301.80488475,2015-03-20,85,28.6548847500001
"03-20",301.89278375,2015-03-21,85,28.74278375
"03-21",302.411669,2015-03-22,85,29.261669
"03-22",303.0613029,2015-03-23,85,29.9113029
"03-23",303.1153245,2015-03-24,85,29.9653245
"03-24",302.2813306,2015-03-25,85,29.1313306000001
"03-25",301.9092187,2015-03-26,85,28.7592187
"03-26",301.8023647,2015-03-27,85,28.6523647
"03-27",301.8254812,2015-03-28,85,28.6754812
"03-28",302.3063389,2015-03-29,85,29.1563389
"03-29",302.75691775,2015-03-30,85,29.60691775
"03-30",302.8923878,2015-03-31,85,29.7423878
"03-31",302.991965,2015-04-01,85,29.841965
"04-01",303.172551,2015-04-02,85,30.022551
"04-02",303.39349555,2015-04-03,85,30.24349555
"04-03",303.78935055,2015-04-04,85,30.63935055
"04-04",303.94562225,2015-04-05,85,30.79562225
"04-05",303.75821125,2015-04-06,85,30.60821125
"04-06",303.8446108,2015-04-07,85,30.6946108000001
"04-07",303.89298135,2015-04-08,85,30.74298135
"04-08",303.57352155,2015-04-09,85,30.42352155
"04-09",303.42533275,2015-04-10,85,30.2753327500001
"04-10",303.24812335,2015-04-11,85,30.09812335
"04-11",303.4095708,2015-04-12,85,30.2595708
"04-12",303.45811975,2015-04-13,85,30.30811975
"04-13",303.3898655,2015-04-14,85,30.2398655000001
"04-14",303.58208895,2015-04-15,85,30.43208895
"04-15",302.230683,2015-04-16,85,29.080683
"04-16",303.2326088,2015-04-17,85,30.0826088
"04-17",303.2330254,2015-04-18,85,30.0830254
"04-18",303.52793505,2015-04-19,85,30.37793505
"04-19",303.6783164,2015-04-20,85,30.5283164
"04-20",304.20988145,2015-04-21,85,31.05988145
"04-21",304.41084205,2015-04-22,85,31.2608420500001
"04-22",305.3369544,2015-04-23,85,32.1869544
"04-23",305.6620459,2015-04-24,85,32.5120459
"04-24",304.8910438,2015-04-25,85,31.7410438000001
"04-25",304.04887575,2015-04-26,85,30.89887575
"04-26",304.1519953,2015-04-27,85,31.0019953
"04-27",303.92420905,2015-04-28,85,30.77420905
"04-28",304.4595642,2015-04-29,85,31.3095642
"04-29",304.2323541,2015-04-30,85,31.0823541
"04-30",304.5953034,2015-05-01,85,31.4453034000001
"05-01",304.9247569,2015-05-02,85,31.7747569000001
"05-02",304.92369535,2015-05-03,85,31.77369535
"05-03",304.80697455,2015-05-04,85,31.65697455
"05-04",304.66435745,2015-05-05,85,31.51435745
"05-05",304.2125536,2015-05-06,85,31.0625536
"05-06",303.86250955,2015-05-07,85,30.71250955
"05-07",304.63705765,2015-05-08,85,31.48705765
"05-08",304.9664195,2015-05-09,85,31.8164195000001
"05-09",305.0698506,2015-05-10,85,31.9198506
"05-10",304.8708945,2015-05-11,85,31.7208945
"05-11",304.47116705,2015-05-12,85,31.32116705
"05-12",304.86422615,2015-05-13,85,31.7142261500001
"05-13",303.7868104,2015-05-14,85,30.6368104000001
"05-14",303.54330835,2015-05-15,85,30.39330835
"05-15",303.69025795,2015-05-16,85,30.54025795
"05-16",302.27373485,2015-05-17,85,29.12373485
"05-17",300.8467735,2015-05-18,85,27.6967735000001
"05-18",301.84676345,2015-05-19,85,28.69676345
"05-19",302.8123264,2015-05-20,85,29.6623264
"05-20",305.1484635,2015-05-21,85,31.9984635
"05-21",306.2150037,2015-05-22,85,33.0650037
"05-22",306.65222805,2015-05-23,85,33.50222805
"05-23",306.82811345,2015-05-24,85,33.67811345
"05-24",307.08076645,2015-05-25,85,33.93076645
"05-25",307.263321,2015-05-26,85,34.113321
"05-26",306.7364002,2015-05-27,85,33.5864002
"05-27",304.97875305,2015-05-28,85,31.82875305
"05-28",304.9806787,2015-05-29,85,31.8306787
"05-29",304.87299725,2015-05-30,85,31.72299725
"05-30",305.18032535,2015-05-31,85,32.03032535
"05-31",305.27151335,2015-06-01,85,32.12151335
"06-01",304.1531555,2015-06-02,85,31.0031555
"06-02",303.4797768,2015-06-03,85,30.3297768
"06-03",304.17138495,2015-06-04,85,31.02138495
"06-04",303.8901465,2015-06-05,85,30.7401465
"06-05",303.6429056,2015-06-06,85,30.4929056
"06-06",303.79229655,2015-06-07,85,30.64229655
"06-07",303.9203305,2015-06-08,85,30.7703305
"06-08",303.41166255,2015-06-09,85,30.26166255
"06-09",303.8338491,2015-06-10,85,30.6838491
"06-10",304.2365659,2015-06-11,85,31.0865659
"06-11",305.1271656,2015-06-12,85,31.9771656
"06-12",304.0728945,2015-06-13,85,30.9228945
"06-13",304.80862415,2015-06-14,85,31.65862415
"06-14",304.40985535,2015-06-15,85,31.2598553500001
"06-15",305.2805517,2015-06-16,85,32.1305517
"06-16",304.4719604,2015-06-17,85,31.3219604
"06-17",302.83422115,2015-06-18,85,29.68422115
"06-18",301.83595425,2015-06-19,85,28.68595425
"06-19",302.13622005,2015-06-20,85,28.98622005
"06-20",302.44060265,2015-06-21,85,29.29060265
"06-21",303.49778245,2015-06-22,85,30.34778245
"06-22",303.90534815,2015-06-23,85,30.75534815
"06-23",303.8207895,2015-06-24,85,30.6707895
"06-24",304.19832945,2015-06-25,85,31.04832945
"06-25",304.22809565,2015-06-26,85,31.07809565
"06-26",304.16708385,2015-06-27,85,31.0170838500001
"06-27",304.0086649,2015-06-28,85,30.8586649
"06-28",303.4708689,2015-06-29,85,30.3208689000001
"06-29",302.9649138,2015-06-30,85,29.8149138
"06-30",303.86319305,2015-07-01,85,30.71319305
"07-01",304.8037191,2015-07-02,85,31.6537191
"07-02",305.295227,2015-07-03,85,32.145227
"07-03",304.4273442,2015-07-04,85,31.2773442
"07-04",305.3203895,2015-07-05,85,32.1703895000001
"07-05",305.37696365,2015-07-06,85,32.22696365
"07-06",305.46856055,2015-07-07,85,32.31856055
"07-07",304.82336935,2015-07-08,85,31.67336935
"07-08",305.19393765,2015-07-09,85,32.04393765
"07-09",305.7340644,2015-07-10,85,32.5840644
"07-10",305.14436995,2015-07-11,85,31.99436995
"07-11",305.46928055,2015-07-12,85,32.31928055
"07-12",305.44811575,2015-07-13,85,32.29811575
"07-13",305.2627287,2015-07-14,85,32.1127287
"07-14",304.71648725,2015-07-15,85,31.56648725
"07-15",303.72866645,2015-07-16,85,30.57866645
"07-16",304.2544884,2015-07-17,85,31.1044884
"07-17",303.41379815,2015-07-18,85,30.26379815
"07-18",304.133237,2015-07-19,85,30.983237
"07-19",302.78054175,2015-07-20,85,29.63054175
"07-20",302.8595924,2015-07-21,85,29.7095924
