"daymonth_id","mean_2m_air_temperature","day","time_series_id","mean_2m_air_temperature_celsius"
"01-01",288.9095207,1985-01-01,10,15.7595207
"01-02",289.3311127,1985-01-02,10,16.1811127
"01-03",291.2517021,1985-01-03,10,18.1017021
"01-04",292.1282509,1985-01-04,10,18.9782509
"01-05",291.82925,1985-01-05,10,18.67925
"01-06",291.2883004,1985-01-06,10,18.1383004
"01-07",291.7319139,1985-01-07,10,18.5819139
"01-08",291.2648041,1985-01-08,10,18.1148041
"01-09",291.3742588,1985-01-09,10,18.2242588
"01-10",292.4834398,1985-01-10,10,19.3334398
"01-11",291.9970645,1985-01-11,10,18.8470645
"01-12",292.3442192,1985-01-12,10,19.1942192
"01-13",293.0898841,1985-01-13,10,19.9398841
"01-14",293.1999872,1985-01-14,10,20.0499872
"01-15",293.393374,1985-01-15,10,20.243374
"01-16",293.6978195,1985-01-16,10,20.5478195
"01-17",294.2983886,1985-01-17,10,21.1483886
"01-18",295.4968726,1985-01-18,10,22.3468726
"01-19",292.8450326,1985-01-19,10,19.6950326
"01-20",292.3718869,1985-01-20,10,19.2218869
"01-21",293.7361676,1985-01-21,10,20.5861676
"01-22",294.1547078,1985-01-22,10,21.0047078
"01-23",293.9341482,1985-01-23,10,20.7841482
"01-24",293.0704314,1985-01-24,10,19.9204314
"01-25",292.8714931,1985-01-25,10,19.7214931
"01-26",293.6426686,1985-01-26,10,20.4926686
"01-27",292.8257644,1985-01-27,10,19.6757644
"01-28",291.9709234,1985-01-28,10,18.8209234
"01-29",293.3287501,1985-01-29,10,20.1787501
"01-30",294.3026613,1985-01-30,10,21.1526613
"01-31",294.7410874,1985-01-31,10,21.5910874
"02-01",294.6925738,1985-02-01,10,21.5425738
"02-02",295.0429664,1985-02-02,10,21.8929664
"02-03",294.7439362,1985-02-03,10,21.5939362
"02-04",295.6120603,1985-02-04,10,22.4620603
"02-05",295.1541793,1985-02-05,10,22.0041793
"02-06",294.5918645,1985-02-06,10,21.4418645
"02-07",295.213332,1985-02-07,10,22.063332
"02-08",294.760533,1985-02-08,10,21.610533
"02-09",292.7783705,1985-02-09,10,19.6283705
"02-10",293.0906235,1985-02-10,10,19.9406235
"02-11",293.1597139,1985-02-11,10,20.0097139
"02-12",291.845504,1985-02-12,10,18.695504
"02-13",292.1085701,1985-02-13,10,18.9585701
"02-14",292.6813444,1985-02-14,10,19.5313444
"02-15",293.2981294,1985-02-15,10,20.1481294
"02-16",293.3233932,1985-02-16,10,20.1733932
"02-17",295.2695172,1985-02-17,10,22.1195172
"02-18",295.6395906,1985-02-18,10,22.4895906
"02-19",294.8305909,1985-02-19,10,21.6805909
"02-20",294.7476168,1985-02-20,10,21.5976168
"02-21",293.8728896,1985-02-21,10,20.7228896
"02-22",294.2636455,1985-02-22,10,21.1136455
"02-23",295.4738389,1985-02-23,10,22.3238389
"02-24",295.3133685,1985-02-24,10,22.1633685
"02-25",296.8354096,1985-02-25,10,23.6854096
"02-26",297.7082106,1985-02-26,10,24.5582106
"02-27",298.8872073,1985-02-27,10,25.7372073
"02-28",298.3038368,1985-02-28,10,25.1538368
"03-01",299.2435517,1985-03-01,10,26.0935517
"03-02",299.6848902,1985-03-02,10,26.5348902
"03-03",298.7649529,1985-03-03,10,25.6149529
"03-04",299.6210276,1985-03-04,10,26.4710276
"03-05",300.4831244,1985-03-05,10,27.3331244
"03-06",299.9879108,1985-03-06,10,26.8379108
"03-07",300.994935,1985-03-07,10,27.844935
"03-08",301.325793,1985-03-08,10,28.175793
"03-09",300.8734133,1985-03-09,10,27.7234133
"03-10",300.7642411,1985-03-10,10,27.6142411
"03-11",301.5214276,1985-03-11,10,28.3714276
"03-12",301.7294534,1985-03-12,10,28.5794534
"03-13",300.9095171,1985-03-13,10,27.7595171
"03-14",300.8339568,1985-03-14,10,27.6839568
"03-15",301.1956406,1985-03-15,10,28.0456406
"03-16",301.5114417,1985-03-16,10,28.3614417
"03-17",301.2266359,1985-03-17,10,28.0766359
"03-18",300.4497997,1985-03-18,10,27.2997997000001
"03-19",299.0091722,1985-03-19,10,25.8591722
"03-20",300.0017512,1985-03-20,10,26.8517512
"03-21",302.1162962,1985-03-21,10,28.9662962
"03-22",302.8709364,1985-03-22,10,29.7209364
"03-23",302.6543036,1985-03-23,10,29.5043036
"03-24",301.9661815,1985-03-24,10,28.8161815
"03-25",302.5804909,1985-03-25,10,29.4304909
"03-26",303.2980829,1985-03-26,10,30.1480829
"03-27",304.4858063,1985-03-27,10,31.3358063
"03-28",305.118675,1985-03-28,10,31.968675
"03-29",304.1161278,1985-03-29,10,30.9661278
"03-30",303.6460973,1985-03-30,10,30.4960973
"03-31",302.4259943,1985-03-31,10,29.2759943
"04-01",302.5537811,1985-04-01,10,29.4037811
"04-02",302.0634994,1985-04-02,10,28.9134994
"04-03",301.5045281,1985-04-03,10,28.3545281
"04-04",302.1617192,1985-04-04,10,29.0117192
"04-05",303.3143838,1985-04-05,10,30.1643838
"04-06",304.157541,1985-04-06,10,31.007541
"04-07",304.256369,1985-04-07,10,31.106369
"04-08",303.2993767,1985-04-08,10,30.1493767
"04-09",303.8564162,1985-04-09,10,30.7064162
"04-10",302.1434494,1985-04-10,10,28.9934494
"04-11",303.4883306,1985-04-11,10,30.3383306
"04-12",303.7963183,1985-04-12,10,30.6463183
"04-13",302.8182673,1985-04-13,10,29.6682673
"04-14",301.836728,1985-04-14,10,28.686728
"04-15",302.7629049,1985-04-15,10,29.6129049
"04-16",303.4764398,1985-04-16,10,30.3264398
"04-17",304.6352713,1985-04-17,10,31.4852713
"04-18",304.1562589,1985-04-18,10,31.0062589
"04-19",304.5874733,1985-04-19,10,31.4374733
"04-20",304.6925966,1985-04-20,10,31.5425966
"04-21",305.4250088,1985-04-21,10,32.2750088
"04-22",305.273032,1985-04-22,10,32.123032
"04-23",304.6961237,1985-04-23,10,31.5461237
"04-24",305.0562054,1985-04-24,10,31.9062054
"04-25",305.4221895,1985-04-25,10,32.2721895
"04-26",305.5295676,1985-04-26,10,32.3795676
"04-27",305.8557284,1985-04-27,10,32.7057284
"04-28",306.6617819,1985-04-28,10,33.5117819
"04-29",306.0562168,1985-04-29,10,32.9062168
"04-30",304.7114658,1985-04-30,10,31.5614658
"05-01",304.7358545,1985-05-01,10,31.5858545
"05-02",304.5135252,1985-05-02,10,31.3635252
"05-03",302.653794,1985-05-03,10,29.503794
"05-04",304.5222214,1985-05-04,10,31.3722214
"05-05",304.5889984,1985-05-05,10,31.4389984
"05-06",305.0640418,1985-05-06,10,31.9140418
"05-07",306.6902607,1985-05-07,10,33.5402607
"05-08",308.107515,1985-05-08,10,34.957515
"05-09",307.4183892,1985-05-09,10,34.2683892
"05-10",306.7990985,1985-05-10,10,33.6490985
"05-11",307.4298528,1985-05-11,10,34.2798528
"05-12",308.0938785,1985-05-12,10,34.9438785
"05-13",308.3877323,1985-05-13,10,35.2377323
"05-14",307.5500649,1985-05-14,10,34.4000649
"05-15",307.4939913,1985-05-15,10,34.3439913
"05-16",308.2736455,1985-05-16,10,35.1236455
"05-17",308.9516434,1985-05-17,10,35.8016434
"05-18",309.5126951,1985-05-18,10,36.3626951
"05-19",307.9485749,1985-05-19,10,34.7985749
"05-20",306.563641,1985-05-20,10,33.413641
"05-21",306.6067336,1985-05-21,10,33.4567336
"05-22",306.718453,1985-05-22,10,33.568453
"05-23",307.2150773,1985-05-23,10,34.0650773
"05-24",307.0154776,1985-05-24,10,33.8654776
"05-25",306.7422455,1985-05-25,10,33.5922455
"05-26",306.1171404,1985-05-26,10,32.9671404
"05-27",306.2520577,1985-05-27,10,33.1020577
"05-28",306.3803927,1985-05-28,10,33.2303927
"05-29",306.029165,1985-05-29,10,32.879165
"05-30",304.5136867,1985-05-30,10,31.3636867
"05-31",304.5566016,1985-05-31,10,31.4066016
"06-01",305.7465477,1985-06-01,10,32.5965477
"06-02",305.3744054,1985-06-02,10,32.2244054
"06-03",305.8241752,1985-06-03,10,32.6741752
"06-04",306.5196464,1985-06-04,10,33.3696464
"06-05",306.39987,1985-06-05,10,33.24987
"06-06",305.8334565,1985-06-06,10,32.6834565
"06-07",305.3267796,1985-06-07,10,32.1767796
"06-08",305.9530824,1985-06-08,10,32.8030824000001
"06-09",306.0531096,1985-06-09,10,32.9031096000001
"06-10",306.0512763,1985-06-10,10,32.9012763
"06-11",305.9423225,1985-06-11,10,32.7923225
"06-12",305.9892445,1985-06-12,10,32.8392445
"06-13",306.4072973,1985-06-13,10,33.2572973
"06-14",306.297854,1985-06-14,10,33.147854
"06-15",306.1358217,1985-06-15,10,32.9858217
"06-16",305.6503763,1985-06-16,10,32.5003763
"06-17",306.1235351,1985-06-17,10,32.9735351
"06-18",306.0715285,1985-06-18,10,32.9215285
"06-19",305.8729739,1985-06-19,10,32.7229739
"06-20",305.6950378,1985-06-20,10,32.5450378
"06-21",305.3740702,1985-06-21,10,32.2240702
"06-22",305.4995696,1985-06-22,10,32.3495696
