"daymonth_id","mean_2m_air_temperature","day","time_series_id","mean_2m_air_temperature_celsius"
"01-01",298.7132735,2016-01-01,79,25.5632735
"01-02",298.26650705,2016-01-02,79,25.11650705
"01-03",297.7667771,2016-01-03,79,24.6167771
"01-04",298.18511825,2016-01-04,79,25.03511825
"01-05",298.25468135,2016-01-05,79,25.10468135
"01-06",298.33741065,2016-01-06,79,25.18741065
"01-07",298.23382115,2016-01-07,79,25.0838211500001
"01-08",297.44330565,2016-01-08,79,24.29330565
"01-09",297.1045548,2016-01-09,79,23.9545548
"01-10",297.20103645,2016-01-10,79,24.05103645
"01-11",297.71681305,2016-01-11,79,24.5668130500001
"01-12",297.72869335,2016-01-12,79,24.57869335
"01-13",297.72303215,2016-01-13,79,24.57303215
"01-14",298.06203145,2016-01-14,79,24.91203145
"01-15",297.91245685,2016-01-15,79,24.76245685
"01-16",297.37143155,2016-01-16,79,24.22143155
"01-17",297.4072027,2016-01-17,79,24.2572027
"01-18",298.5102835,2016-01-18,79,25.3602835
"01-19",299.21411855,2016-01-19,79,26.06411855
"01-20",299.71018795,2016-01-20,79,26.56018795
"01-21",300.08890225,2016-01-21,79,26.93890225
"01-22",299.19921335,2016-01-22,79,26.0492133500001
"01-23",298.6545999,2016-01-23,79,25.5045999
"01-24",299.30194845,2016-01-24,79,26.15194845
"01-25",299.455757,2016-01-25,79,26.305757
"01-26",299.1168876,2016-01-26,79,25.9668876000001
"01-27",298.82784885,2016-01-27,79,25.67784885
"01-28",299.23107735,2016-01-28,79,26.08107735
"01-29",298.81730095,2016-01-29,79,25.66730095
"01-30",298.6318684,2016-01-30,79,25.4818684000001
"01-31",298.28957585,2016-01-31,79,25.13957585
"02-01",297.99487615,2016-02-01,79,24.84487615
"02-02",298.092725,2016-02-02,79,24.942725
"02-03",298.1654896,2016-02-03,79,25.0154896
"02-04",298.357984,2016-02-04,79,25.207984
"02-05",298.39359795,2016-02-05,79,25.24359795
"02-06",298.34926445,2016-02-06,79,25.19926445
"02-07",298.74046515,2016-02-07,79,25.59046515
"02-08",298.49020305,2016-02-08,79,25.34020305
"02-09",298.1255785,2016-02-09,79,24.9755785
"02-10",298.3048014,2016-02-10,79,25.1548014
"02-11",298.61369525,2016-02-11,79,25.46369525
"02-12",299.04500675,2016-02-12,79,25.89500675
"02-13",299.7007104,2016-02-13,79,26.5507104
"02-14",299.6828918,2016-02-14,79,26.5328918
"02-15",299.65484795,2016-02-15,79,26.50484795
"02-16",299.52474395,2016-02-16,79,26.37474395
"02-17",299.59677305,2016-02-17,79,26.44677305
"02-18",299.4082483,2016-02-18,79,26.2582483
"02-19",299.4601182,2016-02-19,79,26.3101182
"02-20",300.5524902,2016-02-20,79,27.4024902
"02-21",300.70324115,2016-02-21,79,27.55324115
"02-22",300.46654285,2016-02-22,79,27.31654285
"02-23",300.26292265,2016-02-23,79,27.11292265
"02-24",300.0589461,2016-02-24,79,26.9089461
"02-25",300.20170885,2016-02-25,79,27.0517088500001
"02-26",300.0617107,2016-02-26,79,26.9117107000001
"02-27",300.2149085,2016-02-27,79,27.0649085
"02-28",300.3226899,2016-02-28,79,27.1726899
"02-29",301.1307617,2016-02-29,79,27.9807617
"03-01",300.0591655,2016-03-01,79,26.9091655
"03-02",299.88223375,2016-03-02,79,26.73223375
"03-03",300.4061592,2016-03-03,79,27.2561592000001
"03-04",300.7842504,2016-03-04,79,27.6342504
"03-05",301.27968185,2016-03-05,79,28.12968185
"03-06",301.6181559,2016-03-06,79,28.4681559000001
"03-07",301.63027715,2016-03-07,79,28.48027715
"03-08",301.5339758,2016-03-08,79,28.3839758
"03-09",301.8092897,2016-03-09,79,28.6592897
"03-10",302.2576501,2016-03-10,79,29.1076501
"03-11",302.52929465,2016-03-11,79,29.37929465
"03-12",302.6127981,2016-03-12,79,29.4627981
"03-13",302.61773365,2016-03-13,79,29.46773365
"03-14",302.17027685,2016-03-14,79,29.02027685
"03-15",301.95099245,2016-03-15,79,28.80099245
"03-16",302.31168175,2016-03-16,79,29.16168175
"03-17",302.41128325,2016-03-17,79,29.26128325
"03-18",302.04047515,2016-03-18,79,28.89047515
"03-19",302.50521325,2016-03-19,79,29.35521325
"03-20",303.1530272,2016-03-20,79,30.0030272
"03-21",303.49263265,2016-03-21,79,30.34263265
"03-22",303.0655706,2016-03-22,79,29.9155706
"03-23",302.86596885,2016-03-23,79,29.71596885
"03-24",302.14502475,2016-03-24,79,28.99502475
"03-25",301.9210628,2016-03-25,79,28.7710628
"03-26",301.76453815,2016-03-26,79,28.61453815
"03-27",301.9461349,2016-03-27,79,28.7961349
"03-28",302.3552621,2016-03-28,79,29.2052621
"03-29",302.8750996,2016-03-29,79,29.7250996
"03-30",303.04849685,2016-03-30,79,29.89849685
"03-31",303.0561246,2016-03-31,79,29.9061246
"04-01",303.12908,2016-04-01,79,29.9790800000001
"04-02",303.3176212,2016-04-02,79,30.1676212
"04-03",303.6486017,2016-04-03,79,30.4986017
"04-04",303.59074755,2016-04-04,79,30.44074755
"04-05",303.72927595,2016-04-05,79,30.57927595
"04-06",304.06643705,2016-04-06,79,30.91643705
"04-07",304.1141352,2016-04-07,79,30.9641352
"04-08",303.71153025,2016-04-08,79,30.56153025
"04-09",303.72141675,2016-04-09,79,30.57141675
"04-10",303.88525135,2016-04-10,79,30.73525135
"04-11",303.91249945,2016-04-11,79,30.7624994500001
"04-12",304.24741515,2016-04-12,79,31.09741515
"04-13",304.1934456,2016-04-13,79,31.0434456
"04-14",303.98970345,2016-04-14,79,30.83970345
"04-15",303.89696,2016-04-15,79,30.74696
"04-16",304.69414385,2016-04-16,79,31.5441438500001
"04-17",304.91098615,2016-04-17,79,31.76098615
"04-18",304.8762921,2016-04-18,79,31.7262921
"04-19",304.6451355,2016-04-19,79,31.4951355000001
"04-20",304.6515451,2016-04-20,79,31.5015451
"04-21",305.24820725,2016-04-21,79,32.09820725
"04-22",305.94377665,2016-04-22,79,32.79377665
"04-23",306.16607835,2016-04-23,79,33.01607835
"04-24",305.88388015,2016-04-24,79,32.73388015
"04-25",305.0983194,2016-04-25,79,31.9483194000001
"04-26",304.80832615,2016-04-26,79,31.65832615
"04-27",304.83111945,2016-04-27,79,31.68111945
"04-28",304.99511755,2016-04-28,79,31.8451175500001
"04-29",305.09351655,2016-04-29,79,31.94351655
"04-30",304.73396365,2016-04-30,79,31.58396365
"05-01",304.62450075,2016-05-01,79,31.4745007500001
"05-02",304.67986215,2016-05-02,79,31.52986215
"05-03",304.78150785,2016-05-03,79,31.63150785
"05-04",304.79842,2016-05-04,79,31.64842
"05-05",304.7273007,2016-05-05,79,31.5773007
"05-06",304.51813575,2016-05-06,79,31.36813575
"05-07",304.6105513,2016-05-07,79,31.4605513
"05-08",304.9594243,2016-05-08,79,31.8094243
"05-09",304.83958415,2016-05-09,79,31.68958415
"05-10",304.6595887,2016-05-10,79,31.5095887
"05-11",304.5824743,2016-05-11,79,31.4324743
"05-12",304.93120445,2016-05-12,79,31.78120445
"05-13",305.1322525,2016-05-13,79,31.9822525
"05-14",305.68158945,2016-05-14,79,32.53158945
"05-15",305.86734835,2016-05-15,79,32.71734835
"05-16",305.1766352,2016-05-16,79,32.0266352
"05-17",304.0674571,2016-05-17,79,30.9174571
"05-18",303.73939965,2016-05-18,79,30.58939965
"05-19",303.6155634,2016-05-19,79,30.4655634
"05-20",305.60459345,2016-05-20,79,32.45459345
"05-21",305.9068055,2016-05-21,79,32.7568055
"05-22",305.96977835,2016-05-22,79,32.81977835
"05-23",306.0821757,2016-05-23,79,32.9321757
"05-24",306.15564975,2016-05-24,79,33.00564975
"05-25",306.25949795,2016-05-25,79,33.10949795
"05-26",305.73024845,2016-05-26,79,32.58024845
"05-27",304.68301955,2016-05-27,79,31.53301955
"05-28",305.6761521,2016-05-28,79,32.5261521
"05-29",306.10681205,2016-05-29,79,32.9568120500001
"05-30",306.4076,2016-05-30,79,33.2576
"05-31",305.8584607,2016-05-31,79,32.7084607
