"daymonth_id","mean_2m_air_temperature","day","time_series_id","mean_2m_air_temperature_celsius"
"01-01",296.9357702,1981-01-01,2,23.7857702
"01-02",297.6120355,1981-01-02,2,24.4620355
"01-03",297.0128281,1981-01-03,2,23.8628281
"01-04",296.4243359,1981-01-04,2,23.2743359
"01-05",296.2577843,1981-01-05,2,23.1077843
"01-06",296.851181,1981-01-06,2,23.701181
"01-07",298.0058915,1981-01-07,2,24.8558915
"01-08",298.5119075,1981-01-08,2,25.3619075
"01-09",297.5339341,1981-01-09,2,24.3839341
"01-10",297.5251354,1981-01-10,2,24.3751354
"01-11",297.2495732,1981-01-11,2,24.0995732
"01-12",297.339215,1981-01-12,2,24.189215
"01-13",296.484743,1981-01-13,2,23.334743
"01-14",296.7272924,1981-01-14,2,23.5772924
"01-15",296.0385487,1981-01-15,2,22.8885487
"01-16",294.75908,1981-01-16,2,21.60908
"01-17",296.3377905,1981-01-17,2,23.1877905
"01-18",296.8449843,1981-01-18,2,23.6949843
"01-19",296.6384554,1981-01-19,2,23.4884554
"01-20",296.4948798,1981-01-20,2,23.3448798
"01-21",296.9859857,1981-01-21,2,23.8359857
"01-22",296.9590311,1981-01-22,2,23.8090311
"01-23",296.7427299,1981-01-23,2,23.5927299
"01-24",297.2206606,1981-01-24,2,24.0706606
"01-25",297.5863321,1981-01-25,2,24.4363321
"01-26",297.7031697,1981-01-26,2,24.5531697
"01-27",297.3122923,1981-01-27,2,24.1622923
"01-28",296.3909946,1981-01-28,2,23.2409946
"01-29",296.5494971,1981-01-29,2,23.3994971
"01-30",297.16651,1981-01-30,2,24.01651
"01-31",297.4639779,1981-01-31,2,24.3139779
"02-01",298.5299844,1981-02-01,2,25.3799844
"02-02",298.3130441,1981-02-02,2,25.1630441
"02-03",297.8560453,1981-02-03,2,24.7060453
"02-04",297.1497234,1981-02-04,2,23.9997234000001
"02-05",297.8047097,1981-02-05,2,24.6547097
"02-06",297.8094473,1981-02-06,2,24.6594473
"02-07",298.4217565,1981-02-07,2,25.2717565
"02-08",298.7596022,1981-02-08,2,25.6096022
"02-09",299.0058822,1981-02-09,2,25.8558822
"02-10",299.5244099,1981-02-10,2,26.3744099
"02-11",299.5835665,1981-02-11,2,26.4335665
"02-12",299.1848381,1981-02-12,2,26.0348381
"02-13",299.1507969,1981-02-13,2,26.0007969
"02-14",299.7554155,1981-02-14,2,26.6054155
"02-15",298.5614243,1981-02-15,2,25.4114243
"02-16",297.8134812,1981-02-16,2,24.6634812
"02-17",297.2793651,1981-02-17,2,24.1293651
"02-18",296.5908274,1981-02-18,2,23.4408274
"02-19",296.9892211,1981-02-19,2,23.8392211
"02-20",298.9819773,1981-02-20,2,25.8319773
"02-21",298.2925464,1981-02-21,2,25.1425464
"02-22",297.6701578,1981-02-22,2,24.5201578
"02-23",297.4479156,1981-02-23,2,24.2979156
"02-24",298.9674691,1981-02-24,2,25.8174691
"02-25",299.5331005,1981-02-25,2,26.3831005
"02-26",299.9101873,1981-02-26,2,26.7601873
"02-27",299.9535877,1981-02-27,2,26.8035877
"02-28",299.9188732,1981-02-28,2,26.7688732
"03-01",300.2633253,1981-03-01,2,27.1133253
"03-02",300.0010977,1981-03-02,2,26.8510977
"03-03",299.7322353,1981-03-03,2,26.5822353
"03-04",299.9277829,1981-03-04,2,26.7777829
"03-05",299.075436,1981-03-05,2,25.925436
"03-06",299.0451693,1981-03-06,2,25.8951693
"03-07",299.3209752,1981-03-07,2,26.1709752
"03-08",300.2197905,1981-03-08,2,27.0697905
"03-09",301.0112343,1981-03-09,2,27.8612343
"03-10",301.3874629,1981-03-10,2,28.2374629
"03-11",300.3838315,1981-03-11,2,27.2338315
"03-12",300.3299583,1981-03-12,2,27.1799583
"03-13",300.0405364,1981-03-13,2,26.8905364
"03-14",299.7731378,1981-03-14,2,26.6231378
"03-15",300.0767302,1981-03-15,2,26.9267302
"03-16",300.1673162,1981-03-16,2,27.0173162
"03-17",300.0791895,1981-03-17,2,26.9291895
"03-18",301.0404874,1981-03-18,2,27.8904874
"03-19",301.3028976,1981-03-19,2,28.1528976
"03-20",302.315361,1981-03-20,2,29.165361
"03-21",302.4415355,1981-03-21,2,29.2915355
