"daymonth_id","mean_2m_air_temperature","day","time_series_id","mean_2m_air_temperature_celsius"
"01-01",288.799463,2015-01-01,66,15.649463
"01-02",288.5340716,2015-01-02,66,15.3840716
"01-03",288.1006395,2015-01-03,66,14.9506395
"01-04",286.4549449,2015-01-04,66,13.3049449
"01-05",287.4479372,2015-01-05,66,14.2979372
"01-06",286.7324469,2015-01-06,66,13.5824469
"01-07",285.0632886,2015-01-07,66,11.9132886
"01-08",284.9151123,2015-01-08,66,11.7651123
"01-09",284.4320354,2015-01-09,66,11.2820354
"01-10",284.5257982,2015-01-10,66,11.3757982
"01-11",285.4528868,2015-01-11,66,12.3028868
"01-12",283.6701744,2015-01-12,66,10.5201744
"01-13",284.7913101,2015-01-13,66,11.6413101
"01-14",284.8339119,2015-01-14,66,11.6839119
"01-15",284.3134781,2015-01-15,66,11.1634781
"01-16",285.3598049,2015-01-16,66,12.2098049
"01-17",286.078829,2015-01-17,66,12.928829
"01-18",286.7951628,2015-01-18,66,13.6451628
"01-19",286.5133039,2015-01-19,66,13.3633039
"01-20",285.5149932,2015-01-20,66,12.3649932
"01-21",285.8314603,2015-01-21,66,12.6814603
"01-22",285.5625683,2015-01-22,66,12.4125683
"01-23",287.1766922,2015-01-23,66,14.0266922
"01-24",285.6138035,2015-01-24,66,12.4638035
"01-25",284.4345441,2015-01-25,66,11.2845441
"01-26",286.2531048,2015-01-26,66,13.1031048
"01-27",285.5619194,2015-01-27,66,12.4119194
"01-28",283.5481105,2015-01-28,66,10.3981105
"01-29",284.2451252,2015-01-29,66,11.0951252
"01-30",285.3874045,2015-01-30,66,12.2374045
"01-31",287.636424,2015-01-31,66,14.486424
"02-01",288.5623077,2015-02-01,66,15.4123077
"02-02",289.6945527,2015-02-02,66,16.5445527
"02-03",289.8645535,2015-02-03,66,16.7145535
"02-04",287.1166964,2015-02-04,66,13.9666964
"02-05",287.3303874,2015-02-05,66,14.1803874
"02-06",288.1283957,2015-02-06,66,14.9783957
"02-07",289.6185669,2015-02-07,66,16.4685669
"02-08",289.7644228,2015-02-08,66,16.6144228
"02-09",289.7311198,2015-02-09,66,16.5811198
"02-10",288.6565302,2015-02-10,66,15.5065302
"02-11",289.3016524,2015-02-11,66,16.1516524
"02-12",288.8452713,2015-02-12,66,15.6952713
"02-13",291.2893463,2015-02-13,66,18.1393463
"02-14",293.1473732,2015-02-14,66,19.9973732
"02-15",292.4295649,2015-02-15,66,19.2795649
"02-16",293.9896524,2015-02-16,66,20.8396524
"02-17",293.8378066,2015-02-17,66,20.6878066
"02-18",294.5682569,2015-02-18,66,21.4182569
"02-19",295.7650377,2015-02-19,66,22.6150377
"02-20",295.4047122,2015-02-20,66,22.2547122
"02-21",295.1802821,2015-02-21,66,22.0302821
"02-22",294.9455656,2015-02-22,66,21.7955656
"02-23",294.7368584,2015-02-23,66,21.5868584
"02-24",296.3024837,2015-02-24,66,23.1524837
"02-25",295.8364406,2015-02-25,66,22.6864406
"02-26",292.0955832,2015-02-26,66,18.9455832
"02-27",291.9454119,2015-02-27,66,18.7954119
"02-28",293.915453,2015-02-28,66,20.765453
"03-01",290.2183075,2015-03-01,66,17.0683075
"03-02",289.8871044,2015-03-02,66,16.7371044
"03-03",289.4480392,2015-03-03,66,16.2980392
"03-04",290.4232654,2015-03-04,66,17.2732654
"03-05",292.5596813,2015-03-05,66,19.4096813
"03-06",293.5567916,2015-03-06,66,20.4067916
"03-07",292.9852514,2015-03-07,66,19.8352514
"03-08",293.0930484,2015-03-08,66,19.9430484
"03-09",290.645883,2015-03-09,66,17.495883
"03-10",290.4527243,2015-03-10,66,17.3027243
"03-11",292.0263441,2015-03-11,66,18.8763441
"03-12",294.9061237,2015-03-12,66,21.7561237
"03-13",294.0730687,2015-03-13,66,20.9230687
"03-14",293.7983438,2015-03-14,66,20.6483438
"03-15",290.8417103,2015-03-15,66,17.6917103
"03-16",292.9491487,2015-03-16,66,19.7991487
"03-17",293.6814968,2015-03-17,66,20.5314968
"03-18",293.351897,2015-03-18,66,20.201897
"03-19",294.9500588,2015-03-19,66,21.8000588
"03-20",296.3059416,2015-03-20,66,23.1559416
"03-21",297.8603671,2015-03-21,66,24.7103671
"03-22",298.2899682,2015-03-22,66,25.1399682
"03-23",298.8738205,2015-03-23,66,25.7238205
"03-24",300.0290332,2015-03-24,66,26.8790332
"03-25",301.0024056,2015-03-25,66,27.8524056
"03-26",301.6566313,2015-03-26,66,28.5066313
"03-27",301.3454318,2015-03-27,66,28.1954318
"03-28",301.0397858,2015-03-28,66,27.8897858
"03-29",299.4738964,2015-03-29,66,26.3238964
"03-30",296.0943674,2015-03-30,66,22.9443674
"03-31",297.6245707,2015-03-31,66,24.4745707
"04-01",299.9915,2015-04-01,66,26.8415
"04-02",299.8375443,2015-04-02,66,26.6875443
"04-03",298.0080675,2015-04-03,66,24.8580675
"04-04",295.129473,2015-04-04,66,21.979473
"04-05",296.848366,2015-04-05,66,23.698366
"04-06",298.0558094,2015-04-06,66,24.9058094
"04-07",295.8640843,2015-04-07,66,22.7140843
"04-08",298.2599378,2015-04-08,66,25.1099378
"04-09",298.1730764,2015-04-09,66,25.0230764
